OrderID,ProductID,UnitPrice,Quantity,Discount
10272,72,HK$27.80 ,24,0
10273,10,HK$24.80 ,24,0.050000001
10273,31,HK$10.00 ,15,0.050000001
10273,33,HK$2.00 ,20,0
10273,40,HK$14.70 ,60,0.050000001
10273,76,HK$14.40 ,33,0.050000001
10274,71,HK$17.20 ,20,0
10274,72,HK$27.80 ,7,0
10275,24,HK$3.60 ,12,0.050000001
10275,59,HK$44.00 ,6,0.050000001
10276,10,HK$24.80 ,15,0
10276,13,HK$4.80 ,10,0
10277,28,HK$36.40 ,20,0
10277,62,HK$39.40 ,12,0
10278,44,HK$15.50 ,16,0
10278,59,HK$44.00 ,15,0
10278,63,HK$35.10 ,8,0
10278,73,HK$12.00 ,25,0
10279,17,HK$31.20 ,15,0.25
10280,24,HK$3.60 ,12,0
10280,55,HK$19.20 ,20,0
10280,75,HK$6.20 ,30,0
10281,19,HK$7.30 ,1,0
10281,24,HK$3.60 ,6,0
10281,35,HK$14.40 ,4,0
10282,30,HK$20.70 ,6,0
10282,57,HK$15.60 ,2,0
10283,15,HK$12.40 ,20,0
10283,19,HK$7.30 ,18,0
10283,60,HK$27.20 ,35,0
10283,72,HK$27.80 ,3,0
10284,27,HK$35.10 ,15,0.25
10284,44,HK$15.50 ,21,0
10284,60,HK$27.20 ,20,0.25
10284,67,HK$11.20 ,5,0.25
10285,1,HK$14.40 ,45,0.200000003
10285,40,HK$14.70 ,40,0.200000003
10285,53,HK$26.20 ,36,0.200000003
10286,35,HK$14.40 ,100,0
10286,62,HK$39.40 ,40,0
10287,16,HK$13.90 ,40,0.150000006
10287,34,HK$11.20 ,20,0
10287,46,HK$9.60 ,15,0.150000006
10288,54,HK$5.90 ,10,0.100000001
10288,68,HK$10.00 ,3,0.100000001
10289,3,HK$8.00 ,30,0
10289,64,HK$26.60 ,9,0
10290,5,HK$17.00 ,20,0
10290,29,HK$99.00 ,15,0
10290,49,HK$16.00 ,15,0
10290,77,HK$10.40 ,10,0
10291,13,HK$4.80 ,20,0.100000001
10291,44,HK$15.50 ,24,0.100000001
10291,51,HK$42.40 ,2,0.100000001
10292,20,HK$64.80 ,20,0
10293,18,HK$50.00 ,12,0
10293,24,HK$3.60 ,10,0
10293,63,HK$35.10 ,5,0
10293,75,HK$6.20 ,6,0
10294,1,HK$14.40 ,18,0
10294,17,HK$31.20 ,15,0
10294,43,HK$36.80 ,15,0
10294,60,HK$27.20 ,21,0
10294,75,HK$6.20 ,6,0
10295,56,HK$30.40 ,4,0
10296,11,HK$16.80 ,12,0
10296,16,HK$13.90 ,30,0
10296,69,HK$28.80 ,15,0
10297,39,HK$14.40 ,60,0
10297,72,HK$27.80 ,20,0
10298,2,HK$15.20 ,40,0
10298,36,HK$15.20 ,40,0.25
10298,59,HK$44.00 ,30,0.25
10298,62,HK$39.40 ,15,0
10299,19,HK$7.30 ,15,0
10299,70,HK$12.00 ,20,0
10300,66,HK$13.60 ,30,0
10300,68,HK$10.00 ,20,0
10301,40,HK$14.70 ,10,0
10301,56,HK$30.40 ,20,0
10302,17,HK$31.20 ,40,0
10302,28,HK$36.40 ,28,0
10302,43,HK$36.80 ,12,0
10303,40,HK$14.70 ,40,0.100000001
10303,65,HK$16.80 ,30,0.100000001
10303,68,HK$10.00 ,15,0.100000001
10304,49,HK$16.00 ,30,0
10304,59,HK$44.00 ,10,0
10304,71,HK$17.20 ,2,0
10305,18,HK$50.00 ,25,0.100000001
10305,29,HK$99.00 ,25,0.100000001
10305,39,HK$14.40 ,30,0.100000001
10306,30,HK$20.70 ,10,0
10306,53,HK$26.20 ,10,0
10306,54,HK$5.90 ,5,0
10307,62,HK$39.40 ,10,0
10307,68,HK$10.00 ,3,0
10308,69,HK$28.80 ,1,0
10308,70,HK$12.00 ,5,0
10309,4,HK$17.60 ,20,0
10309,6,HK$20.00 ,30,0
10309,42,HK$11.20 ,2,0
10309,43,HK$36.80 ,20,0
10309,71,HK$17.20 ,3,0
10310,16,HK$13.90 ,10,0
10310,62,HK$39.40 ,5,0
10311,42,HK$11.20 ,6,0
10311,69,HK$28.80 ,7,0
10312,28,HK$36.40 ,4,0
10312,43,HK$36.80 ,24,0
10312,53,HK$26.20 ,20,0
10312,75,HK$6.20 ,10,0
10313,36,HK$15.20 ,12,0
10314,32,HK$25.60 ,40,0.100000001
10314,58,HK$10.60 ,30,0.100000001
10314,62,HK$39.40 ,25,0.100000001
10315,34,HK$11.20 ,14,0
10315,70,HK$12.00 ,30,0
10316,41,HK$7.70 ,10,0
10316,62,HK$39.40 ,70,0
10317,1,HK$14.40 ,20,0
10318,41,HK$7.70 ,20,0
10318,76,HK$14.40 ,6,0
10319,17,HK$31.20 ,8,0
10319,28,HK$36.40 ,14,0
10319,76,HK$14.40 ,30,0
10320,71,HK$17.20 ,30,0
10321,35,HK$14.40 ,10,0
10322,52,HK$5.60 ,20,0
10323,15,HK$12.40 ,5,0
10323,25,HK$11.20 ,4,0
10323,39,HK$14.40 ,4,0
10324,16,HK$13.90 ,21,0.150000006
10324,35,HK$14.40 ,70,0.150000006
10324,46,HK$9.60 ,30,0
10324,59,HK$44.00 ,40,0.150000006
10324,63,HK$35.10 ,80,0.150000006
10325,6,HK$20.00 ,6,0
10325,13,HK$4.80 ,12,0
10325,14,HK$18.60 ,9,0
10325,31,HK$10.00 ,4,0
10325,72,HK$27.80 ,40,0
10326,4,HK$17.60 ,24,0
10326,57,HK$15.60 ,16,0
10326,75,HK$6.20 ,50,0
10327,2,HK$15.20 ,25,0.200000003
10327,11,HK$16.80 ,50,0.200000003
10327,30,HK$20.70 ,35,0.200000003
10327,58,HK$10.60 ,30,0.200000003
10328,59,HK$44.00 ,9,0
10328,65,HK$16.80 ,40,0
10328,68,HK$10.00 ,10,0
10329,19,HK$7.30 ,10,0.050000001
10329,30,HK$20.70 ,8,0.050000001
10329,38,HK$210.80 ,20,0.050000001
10329,56,HK$30.40 ,12,0.050000001
10330,26,HK$24.90 ,50,0.150000006
10330,72,HK$27.80 ,25,0.150000006
10331,54,HK$5.90 ,15,0
10332,18,HK$50.00 ,40,0.200000003
10332,42,HK$11.20 ,10,0.200000003
10332,47,HK$7.60 ,16,0.200000003
10333,14,HK$18.60 ,10,0
10333,21,HK$8.00 ,10,0.100000001
10333,71,HK$17.20 ,40,0.100000001
10334,52,HK$5.60 ,8,0
10334,68,HK$10.00 ,10,0
10335,2,HK$15.20 ,7,0.200000003
10335,31,HK$10.00 ,25,0.200000003
10335,32,HK$25.60 ,6,0.200000003
10335,51,HK$42.40 ,48,0.200000003
10336,4,HK$17.60 ,18,0.100000001
10337,23,HK$7.20 ,40,0
10337,26,HK$24.90 ,24,0
10337,36,HK$15.20 ,20,0
10337,37,HK$20.80 ,28,0
10337,72,HK$27.80 ,25,0
10338,17,HK$31.20 ,20,0
10338,30,HK$20.70 ,15,0
10339,4,HK$17.60 ,10,0
10339,17,HK$31.20 ,70,0.050000001
10339,62,HK$39.40 ,28,0
10340,18,HK$50.00 ,20,0.050000001
10340,41,HK$7.70 ,12,0.050000001
10340,43,HK$36.80 ,40,0.050000001
10341,33,HK$2.00 ,8,0
10341,59,HK$44.00 ,9,0.150000006
10342,2,HK$15.20 ,24,0.200000003
10342,31,HK$10.00 ,56,0.200000003
10342,36,HK$15.20 ,40,0.200000003
10342,55,HK$19.20 ,40,0.200000003
10343,64,HK$26.60 ,50,0
10343,68,HK$10.00 ,4,0.050000001
10343,76,HK$14.40 ,15,0
10344,4,HK$17.60 ,35,0
10344,8,HK$32.00 ,70,0.25
10345,8,HK$32.00 ,70,0
10345,19,HK$7.30 ,80,0
10345,42,HK$11.20 ,9,0
10346,17,HK$31.20 ,36,0.100000001
10346,56,HK$30.40 ,20,0
10347,25,HK$11.20 ,10,0
10347,39,HK$14.40 ,50,0.150000006
10347,40,HK$14.70 ,4,0
10347,75,HK$6.20 ,6,0.150000006
10348,1,HK$14.40 ,15,0.150000006
10348,23,HK$7.20 ,25,0
10349,54,HK$5.90 ,24,0
10350,50,HK$13.00 ,15,0.100000001
10350,69,HK$28.80 ,18,0.100000001
10351,38,HK$210.80 ,20,0.050000001
10351,41,HK$7.70 ,13,0
10351,44,HK$15.50 ,77,0.050000001
10351,65,HK$16.80 ,10,0.050000001
10352,24,HK$3.60 ,10,0
10352,54,HK$5.90 ,20,0.150000006
10353,11,HK$16.80 ,12,0.200000003
10353,38,HK$210.80 ,50,0.200000003
10354,1,HK$14.40 ,12,0
10354,29,HK$99.00 ,4,0
10355,24,HK$3.60 ,25,0
10355,57,HK$15.60 ,25,0
10356,31,HK$10.00 ,30,0
10356,55,HK$19.20 ,12,0
10356,69,HK$28.80 ,20,0
10357,10,HK$24.80 ,30,0.200000003
10357,26,HK$24.90 ,16,0
10357,60,HK$27.20 ,8,0.200000003
10358,24,HK$3.60 ,10,0.050000001
10358,34,HK$11.20 ,10,0.050000001
10358,36,HK$15.20 ,20,0.050000001
10359,16,HK$13.90 ,56,0.050000001
10359,31,HK$10.00 ,70,0.050000001
10359,60,HK$27.20 ,80,0.050000001
10360,28,HK$36.40 ,30,0
10360,29,HK$99.00 ,35,0
10360,38,HK$210.80 ,10,0
10360,49,HK$16.00 ,35,0
10360,54,HK$5.90 ,28,0
10361,39,HK$14.40 ,54,0.100000001
10361,60,HK$27.20 ,55,0.100000001
10362,25,HK$11.20 ,50,0
10362,51,HK$42.40 ,20,0
10362,54,HK$5.90 ,24,0
10363,31,HK$10.00 ,20,0
10363,75,HK$6.20 ,12,0
10363,76,HK$14.40 ,12,0
10364,69,HK$28.80 ,30,0
10364,71,HK$17.20 ,5,0
10365,11,HK$16.80 ,24,0
10366,65,HK$16.80 ,5,0
10366,77,HK$10.40 ,5,0
10367,34,HK$11.20 ,36,0
10367,54,HK$5.90 ,18,0
10367,65,HK$16.80 ,15,0
10367,77,HK$10.40 ,7,0
10368,21,HK$8.00 ,5,0.100000001
10368,28,HK$36.40 ,13,0.100000001
10368,57,HK$15.60 ,25,0
10368,64,HK$26.60 ,35,0.100000001
10369,29,HK$99.00 ,20,0
10369,56,HK$30.40 ,18,0.25
10370,1,HK$14.40 ,15,0.150000006
10370,64,HK$26.60 ,30,0
10370,74,HK$8.00 ,20,0.150000006
10371,36,HK$15.20 ,6,0.200000003
10372,20,HK$64.80 ,12,0.25
10372,38,HK$210.80 ,40,0.25
10372,60,HK$27.20 ,70,0.25
10372,72,HK$27.80 ,42,0.25
10373,58,HK$10.60 ,80,0.200000003
10373,71,HK$17.20 ,50,0.200000003
10374,31,HK$10.00 ,30,0
10374,58,HK$10.60 ,15,0
10375,14,HK$18.60 ,15,0
10375,54,HK$5.90 ,10,0
10376,31,HK$10.00 ,42,0.050000001
10377,28,HK$36.40 ,20,0.150000006
10377,39,HK$14.40 ,20,0.150000006
10378,71,HK$17.20 ,6,0
10379,41,HK$7.70 ,8,0.100000001
10379,63,HK$35.10 ,16,0.100000001
10379,65,HK$16.80 ,20,0.100000001
10380,30,HK$20.70 ,18,0.100000001
10380,53,HK$26.20 ,20,0.100000001
10380,60,HK$27.20 ,6,0.100000001
10380,70,HK$12.00 ,30,0
10381,74,HK$8.00 ,14,0
10382,5,HK$17.00 ,32,0
10382,18,HK$50.00 ,9,0
10382,29,HK$99.00 ,14,0
10382,33,HK$2.00 ,60,0
10382,74,HK$8.00 ,50,0
10383,13,HK$4.80 ,20,0
10383,50,HK$13.00 ,15,0
10383,56,HK$30.40 ,20,0
10384,20,HK$64.80 ,28,0
10384,60,HK$27.20 ,15,0
10385,7,HK$24.00 ,10,0.200000003
10385,60,HK$27.20 ,20,0.200000003
10385,68,HK$10.00 ,8,0.200000003
10386,24,HK$3.60 ,15,0
10386,34,HK$11.20 ,10,0
10387,24,HK$3.60 ,15,0
10387,28,HK$36.40 ,6,0
10387,59,HK$44.00 ,12,0
10387,71,HK$17.20 ,15,0
10388,45,HK$7.60 ,15,0.200000003
10388,52,HK$5.60 ,20,0.200000003
10388,53,HK$26.20 ,40,0
10389,10,HK$24.80 ,16,0
10389,55,HK$19.20 ,15,0
10389,62,HK$39.40 ,20,0
10389,70,HK$12.00 ,30,0
10390,31,HK$10.00 ,60,0.100000001
10390,35,HK$14.40 ,40,0.100000001
10390,46,HK$9.60 ,45,0
10390,72,HK$27.80 ,24,0.100000001
10391,13,HK$4.80 ,18,0
10392,69,HK$28.80 ,50,0
10393,2,HK$15.20 ,25,0.25
10393,14,HK$18.60 ,42,0.25
10393,25,HK$11.20 ,7,0.25
10393,26,HK$24.90 ,70,0.25
10393,31,HK$10.00 ,32,0
10394,13,HK$4.80 ,10,0
10394,62,HK$39.40 ,10,0
10395,46,HK$9.60 ,28,0.100000001
10395,53,HK$26.20 ,70,0.100000001
10395,69,HK$28.80 ,8,0
10396,23,HK$7.20 ,40,0
10396,71,HK$17.20 ,60,0
10396,72,HK$27.80 ,21,0
10397,21,HK$8.00 ,10,0.150000006
10397,51,HK$42.40 ,18,0.150000006
10398,35,HK$14.40 ,30,0
10398,55,HK$19.20 ,120,0.100000001
10399,68,HK$10.00 ,60,0
10399,71,HK$17.20 ,30,0
10399,76,HK$14.40 ,35,0
10399,77,HK$10.40 ,14,0
10400,29,HK$99.00 ,21,0
10400,35,HK$14.40 ,35,0
10400,49,HK$16.00 ,30,0
10401,30,HK$20.70 ,18,0
10401,56,HK$30.40 ,70,0
10401,65,HK$16.80 ,20,0
10401,71,HK$17.20 ,60,0
10402,23,HK$7.20 ,60,0
10402,63,HK$35.10 ,65,0
10403,16,HK$13.90 ,21,0.150000006
10403,48,HK$10.20 ,70,0.150000006
10404,26,HK$24.90 ,30,0.050000001
10404,42,HK$11.20 ,40,0.050000001
10404,49,HK$16.00 ,30,0.050000001
10405,3,HK$8.00 ,50,0
10406,1,HK$14.40 ,10,0
10406,21,HK$8.00 ,30,0.100000001
10406,28,HK$36.40 ,42,0.100000001
10406,36,HK$15.20 ,5,0.100000001
10406,40,HK$14.70 ,2,0.100000001
10407,11,HK$16.80 ,30,0
10407,69,HK$28.80 ,15,0
10407,71,HK$17.20 ,15,0
10408,37,HK$20.80 ,10,0
10408,54,HK$5.90 ,6,0
10408,62,HK$39.40 ,35,0
10409,14,HK$18.60 ,12,0
10409,21,HK$8.00 ,12,0
10410,33,HK$2.00 ,49,0
10410,59,HK$44.00 ,16,0
10411,41,HK$7.70 ,25,0.200000003
10411,44,HK$15.50 ,40,0.200000003
10411,59,HK$44.00 ,9,0.200000003
10412,14,HK$18.60 ,20,0.100000001
10413,1,HK$14.40 ,24,0
10413,62,HK$39.40 ,40,0
10413,76,HK$14.40 ,14,0
10414,19,HK$7.30 ,18,0.050000001
10414,33,HK$2.00 ,50,0
10415,17,HK$31.20 ,2,0
10415,33,HK$2.00 ,20,0
10416,19,HK$7.30 ,20,0
10416,53,HK$26.20 ,10,0
10416,57,HK$15.60 ,20,0
10417,38,HK$210.80 ,50,0
10417,46,HK$9.60 ,2,0.25
10417,68,HK$10.00 ,36,0.25
10417,77,HK$10.40 ,35,0
10418,2,HK$15.20 ,60,0
10418,47,HK$7.60 ,55,0
10418,61,HK$22.80 ,16,0
10418,74,HK$8.00 ,15,0
10419,60,HK$27.20 ,60,0.050000001
10419,69,HK$28.80 ,20,0.050000001
10420,9,HK$77.60 ,20,0.100000001
10420,13,HK$4.80 ,2,0.100000001
10420,70,HK$12.00 ,8,0.100000001
10420,73,HK$12.00 ,20,0.100000001
10421,19,HK$7.30 ,4,0.150000006
10421,26,HK$24.90 ,30,0
10421,53,HK$26.20 ,15,0.150000006
10421,77,HK$10.40 ,10,0.150000006
10422,26,HK$24.90 ,2,0
10423,31,HK$10.00 ,14,0
10423,59,HK$44.00 ,20,0
10424,35,HK$14.40 ,60,0.200000003
10424,38,HK$210.80 ,49,0.200000003
10424,68,HK$10.00 ,30,0.200000003
10425,55,HK$19.20 ,10,0.25
10425,76,HK$14.40 ,20,0.25
10426,56,HK$30.40 ,5,0
10426,64,HK$26.60 ,7,0
10427,14,HK$18.60 ,35,0
10428,46,HK$9.60 ,20,0
10429,50,HK$13.00 ,40,0
10429,63,HK$35.10 ,35,0.25
10430,17,HK$31.20 ,45,0.200000003
10430,21,HK$8.00 ,50,0
10430,56,HK$30.40 ,30,0
10430,59,HK$44.00 ,70,0.200000003
10431,17,HK$31.20 ,50,0.25
10431,40,HK$14.70 ,50,0.25
10431,47,HK$7.60 ,30,0.25
10432,26,HK$24.90 ,10,0
10432,54,HK$5.90 ,40,0
10433,56,HK$30.40 ,28,0
10434,11,HK$16.80 ,6,0
10434,76,HK$14.40 ,18,0.150000006
10435,2,HK$15.20 ,10,0
10435,22,HK$16.80 ,12,0
10435,72,HK$27.80 ,10,0
10436,46,HK$9.60 ,5,0
10436,56,HK$30.40 ,40,0.100000001
10436,64,HK$26.60 ,30,0.100000001
10436,75,HK$6.20 ,24,0.100000001
10437,53,HK$26.20 ,15,0
10438,19,HK$7.30 ,15,0.200000003
10438,34,HK$11.20 ,20,0.200000003
10438,57,HK$15.60 ,15,0.200000003
10439,12,HK$30.40 ,15,0
10439,16,HK$13.90 ,16,0
10439,64,HK$26.60 ,6,0
10439,74,HK$8.00 ,30,0
10440,2,HK$15.20 ,45,0.150000006
10440,16,HK$13.90 ,49,0.150000006
10440,29,HK$99.00 ,24,0.150000006
10440,61,HK$22.80 ,90,0.150000006
10441,27,HK$35.10 ,50,0
10442,11,HK$16.80 ,30,0
10442,54,HK$5.90 ,80,0
10442,66,HK$13.60 ,60,0
10443,11,HK$16.80 ,6,0.200000003
10443,28,HK$36.40 ,12,0
10444,17,HK$31.20 ,10,0
10444,26,HK$24.90 ,15,0
10444,35,HK$14.40 ,8,0
10444,41,HK$7.70 ,30,0
10445,39,HK$14.40 ,6,0
10445,54,HK$5.90 ,15,0
10446,19,HK$7.30 ,12,0.100000001
10446,24,HK$3.60 ,20,0.100000001
10446,31,HK$10.00 ,3,0.100000001
10446,52,HK$5.60 ,15,0.100000001
10447,19,HK$7.30 ,40,0
10447,65,HK$16.80 ,35,0
10447,71,HK$17.20 ,2,0
10448,26,HK$24.90 ,6,0
10448,40,HK$14.70 ,20,0
10449,10,HK$24.80 ,14,0
10449,52,HK$5.60 ,20,0
10449,62,HK$39.40 ,35,0
10450,10,HK$24.80 ,20,0.200000003
10450,54,HK$5.90 ,6,0.200000003
10451,55,HK$19.20 ,120,0.100000001
10451,64,HK$26.60 ,35,0.100000001
10451,65,HK$16.80 ,28,0.100000001
10451,77,HK$10.40 ,55,0.100000001
10452,28,HK$36.40 ,15,0
10452,44,HK$15.50 ,100,0.050000001
10453,48,HK$10.20 ,15,0.100000001
10453,70,HK$12.00 ,25,0.100000001
10454,16,HK$13.90 ,20,0.200000003
10454,33,HK$2.00 ,20,0.200000003
10454,46,HK$9.60 ,10,0.200000003
10455,39,HK$14.40 ,20,0
10455,53,HK$26.20 ,50,0
10455,61,HK$22.80 ,25,0
10455,71,HK$17.20 ,30,0
10456,21,HK$8.00 ,40,0.150000006
10456,49,HK$16.00 ,21,0.150000006
10457,59,HK$44.00 ,36,0
10458,26,HK$24.90 ,30,0
10458,28,HK$36.40 ,30,0
10458,43,HK$36.80 ,20,0
10458,56,HK$30.40 ,15,0
10458,71,HK$17.20 ,50,0
10459,7,HK$24.00 ,16,0.050000001
10459,46,HK$9.60 ,20,0.050000001
10459,72,HK$27.80 ,40,0
10460,68,HK$10.00 ,21,0.25
10460,75,HK$6.20 ,4,0.25
10461,21,HK$8.00 ,40,0.25
10461,30,HK$20.70 ,28,0.25
10461,55,HK$19.20 ,60,0.25
10462,13,HK$4.80 ,1,0
10462,23,HK$7.20 ,21,0
10463,19,HK$7.30 ,21,0
10463,42,HK$11.20 ,50,0
10464,4,HK$17.60 ,16,0.200000003
10464,43,HK$36.80 ,3,0
10464,56,HK$30.40 ,30,0.200000003
10464,60,HK$27.20 ,20,0
10465,24,HK$3.60 ,25,0
10465,29,HK$99.00 ,18,0.100000001
10465,40,HK$14.70 ,20,0
10465,45,HK$7.60 ,30,0.100000001
10465,50,HK$13.00 ,25,0
10466,11,HK$16.80 ,10,0
10466,46,HK$9.60 ,5,0
10467,24,HK$3.60 ,28,0
10467,25,HK$11.20 ,12,0
10468,30,HK$20.70 ,8,0
10468,43,HK$36.80 ,15,0
10469,2,HK$15.20 ,40,0.150000006
10469,16,HK$13.90 ,35,0.150000006
10469,44,HK$15.50 ,2,0.150000006
10470,18,HK$50.00 ,30,0
10470,23,HK$7.20 ,15,0
10470,64,HK$26.60 ,8,0
10471,7,HK$24.00 ,30,0
10471,56,HK$30.40 ,20,0
10472,24,HK$3.60 ,80,0.050000001
10472,51,HK$42.40 ,18,0
10473,33,HK$2.00 ,12,0
10473,71,HK$17.20 ,12,0
10474,14,HK$18.60 ,12,0
10474,28,HK$36.40 ,18,0
10474,40,HK$14.70 ,21,0
10474,75,HK$6.20 ,10,0
10475,31,HK$10.00 ,35,0.150000006
10475,66,HK$13.60 ,60,0.150000006
10475,76,HK$14.40 ,42,0.150000006
10476,55,HK$19.20 ,2,0.050000001
10476,70,HK$12.00 ,12,0
10477,1,HK$14.40 ,15,0
10477,21,HK$8.00 ,21,0.25
10477,39,HK$14.40 ,20,0.25
10478,10,HK$24.80 ,20,0.050000001
10479,38,HK$210.80 ,30,0
10479,53,HK$26.20 ,28,0
10479,59,HK$44.00 ,60,0
10479,64,HK$26.60 ,30,0
10480,47,HK$7.60 ,30,0
10480,59,HK$44.00 ,12,0
10481,49,HK$16.00 ,24,0
10481,60,HK$27.20 ,40,0
10482,40,HK$14.70 ,10,0
10483,34,HK$11.20 ,35,0.050000001
10483,77,HK$10.40 ,30,0.050000001
10484,21,HK$8.00 ,14,0
10484,40,HK$14.70 ,10,0
10484,51,HK$42.40 ,3,0
10485,2,HK$15.20 ,20,0.100000001
10485,3,HK$8.00 ,20,0.100000001
10485,55,HK$19.20 ,30,0.100000001
10485,70,HK$12.00 ,60,0.100000001
10486,11,HK$16.80 ,5,0
10486,51,HK$42.40 ,25,0
10486,74,HK$8.00 ,16,0
10487,19,HK$7.30 ,5,0
10487,26,HK$24.90 ,30,0
10487,54,HK$5.90 ,24,0.25
10488,59,HK$44.00 ,30,0
10488,73,HK$12.00 ,20,0.200000003
10489,11,HK$16.80 ,15,0.25
10489,16,HK$13.90 ,18,0
10490,59,HK$44.00 ,60,0
10490,68,HK$10.00 ,30,0
10490,75,HK$6.20 ,36,0
10491,44,HK$15.50 ,15,0.150000006
10491,77,HK$10.40 ,7,0.150000006
10492,25,HK$11.20 ,60,0.050000001
10492,42,HK$11.20 ,20,0.050000001
10493,65,HK$16.80 ,15,0.100000001
10493,66,HK$13.60 ,10,0.100000001
10493,69,HK$28.80 ,10,0.100000001
10494,56,HK$30.40 ,30,0
10495,23,HK$7.20 ,10,0
10495,41,HK$7.70 ,20,0
10495,77,HK$10.40 ,5,0
10496,31,HK$10.00 ,20,0.050000001
10497,56,HK$30.40 ,14,0
10497,72,HK$27.80 ,25,0
10497,77,HK$10.40 ,25,0
10498,24,HK$4.50 ,14,0
10498,40,HK$18.40 ,5,0
10498,42,HK$14.00 ,30,0
10499,28,HK$45.60 ,20,0
10499,49,HK$20.00 ,25,0
10500,15,HK$15.50 ,12,0.050000001
10500,28,HK$45.60 ,8,0.050000001
10501,54,HK$7.45 ,20,0
10502,45,HK$9.50 ,21,0
10502,53,HK$32.80 ,6,0
10502,67,HK$14.00 ,30,0
10503,14,HK$23.25 ,70,0
10503,65,HK$21.05 ,20,0
10504,2,HK$19.00 ,12,0
10504,21,HK$10.00 ,12,0
10504,53,HK$32.80 ,10,0
10504,61,HK$28.50 ,25,0
10505,62,HK$49.30 ,3,0
10506,25,HK$14.00 ,18,0.100000001
10506,70,HK$15.00 ,14,0.100000001
10507,43,HK$46.00 ,15,0.150000006
10507,48,HK$12.75 ,15,0.150000006
10508,13,HK$6.00 ,10,0
10508,39,HK$18.00 ,10,0
10509,28,HK$45.60 ,3,0
10510,29,HK$123.79 ,36,0
10510,75,HK$7.75 ,36,0.100000001
10511,4,HK$22.00 ,50,0.150000006
10511,7,HK$30.00 ,50,0.150000006
10511,8,HK$40.00 ,10,0.150000006
10512,24,HK$4.50 ,10,0.150000006
10512,46,HK$12.00 ,9,0.150000006
10512,47,HK$9.50 ,6,0.150000006
10512,60,HK$34.00 ,12,0.150000006
10513,21,HK$10.00 ,40,0.200000003
10513,32,HK$32.00 ,50,0.200000003
10513,61,HK$28.50 ,15,0.200000003
10514,20,HK$81.00 ,39,0
10514,28,HK$45.60 ,35,0
10514,56,HK$38.00 ,70,0
10514,65,HK$21.05 ,39,0
10514,75,HK$7.75 ,50,0
10515,9,HK$97.00 ,16,0.150000006
10515,16,HK$17.45 ,50,0
10515,27,HK$43.90 ,120,0
10515,33,HK$2.50 ,16,0.150000006
10515,60,HK$34.00 ,84,0.150000006
10516,18,HK$62.50 ,25,0.100000001
10516,41,HK$9.65 ,80,0.100000001
10516,42,HK$14.00 ,20,0
10517,52,HK$7.00 ,6,0
10517,59,HK$55.00 ,4,0
10517,70,HK$15.00 ,6,0
10518,24,HK$4.50 ,5,0
10518,38,HK$263.50 ,15,0
10518,44,HK$19.45 ,9,0
10519,10,HK$31.00 ,16,0.050000001
10519,56,HK$38.00 ,40,0
10519,60,HK$34.00 ,10,0.050000001
10520,24,HK$4.50 ,8,0
10520,53,HK$32.80 ,5,0
