PID,CustomerID,Method,Charge,Balance,PaymentDate,DueDate
100,95,"3",224,641,2006-04-18 00:00:00,2006-03-27 00:00:00
101,141,"2",160,160,2006-08-10 00:00:00,2006-08-02 00:00:00
102,114,"3",221,221,2006-02-18 00:00:00,2006-02-26 00:00:00
103,86,"2",309,763,2006-12-25 00:00:00,2006-11-14 00:00:00
104,144,"3",329,427,2006-12-30 00:00:00,2006-12-30 00:00:00
105,205,"1",287,287,2006-12-13 00:00:00,2006-12-15 00:00:00
106,83,"4",222,233,2005-11-21 00:00:00,2005-11-16 00:00:00
107,190,"2",237,237,2005-02-13 00:00:00,2005-01-31 00:00:00
108,214,"2",101,183,2006-07-08 00:00:00,2006-05-20 00:00:00
109,203,"3",286,329,2006-11-13 00:00:00,2006-12-02 00:00:00
110,204,"2",300,632,2006-07-09 00:00:00,2006-07-20 00:00:00
111,239,"4",214,214,2005-05-25 00:00:00,2005-05-01 00:00:00
112,131,"4",145,302,2006-05-23 00:00:00,2006-05-06 00:00:00
113,36,"4",157,157,2006-10-03 00:00:00,2006-10-05 00:00:00
114,82,"4",74,268,2006-01-21 00:00:00,2006-01-04 00:00:00
115,172,"3",145,145,2006-03-08 00:00:00,2006-02-12 00:00:00
116,156,"3",84,84,2005-08-12 00:00:00,2005-07-11 00:00:00
117,127,"2",81,81,2005-08-29 00:00:00,2005-08-26 00:00:00
118,223,"3",124,124,2006-05-21 00:00:00,2006-04-05 00:00:00
119,27,"1",128,360,2006-12-03 00:00:00,2006-10-24 00:00:00
120,137,"2",177,177,2006-03-28 00:00:00,2006-04-05 00:00:00
121,88,"3",338,338,,
122,105,"3",229,229,2005-12-23 00:00:00,2005-12-16 00:00:00
123,55,"1",67,92,2005-02-24 00:00:00,2005-02-24 00:00:00
124,5,"3",297,297,2005-11-26 00:00:00,2005-11-21 00:00:00
125,117,"2",224,224,2006-08-16 00:00:00,2006-07-27 00:00:00
126,40,"4",312,498,2006-07-27 00:00:00,2006-07-03 00:00:00
127,174,"1",261,611,2005-05-19 00:00:00,2005-04-11 00:00:00
128,144,"3",236,553,2005-04-05 00:00:00,2005-04-14 00:00:00
129,152,"3",238,367,2006-04-02 00:00:00,2006-03-18 00:00:00
130,59,"1",202,659,2005-09-04 00:00:00,2005-08-25 00:00:00
131,121,"2",106,558,2005-09-10 00:00:00,2005-09-22 00:00:00
132,248,"4",250,250,2006-05-01 00:00:00,2006-05-02 00:00:00
133,119,"1",69,69,2006-06-15 00:00:00,2006-06-15 00:00:00
134,85,"1",354,354,2005-11-26 00:00:00,2005-11-26 00:00:00
135,63,"1",284,499,2006-12-07 00:00:00,2006-10-22 00:00:00
136,44,"3",299,724,2006-08-28 00:00:00,2006-07-25 00:00:00
137,178,"3",275,367,2006-01-28 00:00:00,2006-01-25 00:00:00
138,146,"3",92,92,2005-10-19 00:00:00,2005-09-06 00:00:00
139,62,"3",154,406,2005-08-22 00:00:00,2005-07-29 00:00:00
140,123,"4",226,710,2005-08-08 00:00:00,2005-07-19 00:00:00
141,53,"2",180,180,2005-10-10 00:00:00,2005-08-27 00:00:00
142,152,"3",162,162,2006-08-14 00:00:00,2006-07-18 00:00:00
143,242,"4",154,566,2006-11-25 00:00:00,2006-11-30 00:00:00
144,24,"4",176,263,2006-09-13 00:00:00,2006-09-04 00:00:00
145,59,"2",176,176,2006-10-25 00:00:00,2006-09-14 00:00:00
146,137,"1",105,225,2005-04-21 00:00:00,2005-03-18 00:00:00
147,116,"1",317,317,2005-06-12 00:00:00,2005-05-22 00:00:00
148,22,"4",91,318,2005-09-19 00:00:00,2005-08-23 00:00:00
149,66,"4",219,498,,
150,160,"2",84,119,2006-03-19 00:00:00,2006-03-17 00:00:00
151,196,"2",322,322,2006-07-18 00:00:00,2006-07-02 00:00:00
152,145,"3",67,245,2006-10-14 00:00:00,2006-10-04 00:00:00
153,209,"1",304,519,2005-02-01 00:00:00,2005-01-06 00:00:00
154,134,"4",310,310,2005-08-30 00:00:00,2005-08-21 00:00:00
155,180,"4",175,175,2005-02-18 00:00:00,2005-01-09 00:00:00
156,173,"1",186,186,2005-04-30 00:00:00,2005-03-25 00:00:00
157,186,"3",135,614,,
158,25,"1",349,719,2006-01-22 00:00:00,2005-12-09 00:00:00
159,38,"2",155,155,2006-07-25 00:00:00,2006-07-12 00:00:00
160,56,"2",356,436,2006-06-13 00:00:00,2006-05-22 00:00:00
161,135,"4",304,304,2006-07-29 00:00:00,2006-07-27 00:00:00
162,82,"3",322,482,2005-05-03 00:00:00,2005-05-02 00:00:00
163,44,"2",260,260,2006-07-09 00:00:00,2006-07-18 00:00:00
164,254,"4",181,622,,
165,57,"3",265,451,2006-02-07 00:00:00,2006-02-20 00:00:00
166,120,"4",190,190,2005-01-02 00:00:00,2004-12-15 00:00:00
167,235,"2",118,118,2006-01-15 00:00:00,2006-01-20 00:00:00
168,250,"3",287,287,2006-09-30 00:00:00,2006-10-23 00:00:00
169,110,"4",353,353,2005-08-03 00:00:00,2005-06-29 00:00:00
170,7,"1",281,312,2005-02-26 00:00:00,2005-01-26 00:00:00
171,35,"2",204,287,2005-09-08 00:00:00,2005-08-17 00:00:00
172,250,"2",177,655,2005-09-02 00:00:00,2005-09-03 00:00:00
173,47,"3",190,190,2006-02-14 00:00:00,2006-03-04 00:00:00
174,161,"4",113,352,2005-02-13 00:00:00,2005-02-14 00:00:00
175,72,"3",263,414,2005-04-15 00:00:00,2005-03-29 00:00:00
176,44,"2",337,337,2006-12-14 00:00:00,2007-01-10 00:00:00
177,231,"4",281,667,2006-04-13 00:00:00,2006-03-10 00:00:00
178,235,"1",299,746,2005-07-26 00:00:00,2005-07-06 00:00:00
179,205,"2",170,170,2006-06-27 00:00:00,2006-05-29 00:00:00
180,235,"3",347,521,2006-02-26 00:00:00,2006-03-06 00:00:00
181,158,"3",155,155,2005-02-26 00:00:00,2005-02-19 00:00:00
182,133,"3",122,122,2006-09-27 00:00:00,2006-08-31 00:00:00
183,98,"2",211,598,2005-05-21 00:00:00,2005-05-05 00:00:00
184,225,"3",132,199,2006-04-30 00:00:00,2006-04-17 00:00:00
185,93,"4",183,223,2005-05-05 00:00:00,2005-04-25 00:00:00
186,110,"2",307,335,2005-08-23 00:00:00,2005-07-15 00:00:00
187,148,"2",95,95,2006-03-28 00:00:00,2006-04-05 00:00:00
188,149,"4",298,298,2006-08-15 00:00:00,2006-08-11 00:00:00
189,145,"3",179,600,2005-10-07 00:00:00,2005-09-29 00:00:00
190,116,"4",323,323,2005-09-04 00:00:00,2005-08-09 00:00:00
191,253,"3",277,437,2006-03-03 00:00:00,2006-02-21 00:00:00
192,137,"1",181,181,2005-02-07 00:00:00,2005-01-24 00:00:00
193,125,"1",64,64,2005-10-01 00:00:00,2005-09-08 00:00:00
194,136,"3",254,254,2005-10-23 00:00:00,2005-09-23 00:00:00
195,209,"1",249,249,2005-08-14 00:00:00,2005-08-04 00:00:00
196,104,"4",128,302,2005-04-26 00:00:00,2005-05-24 00:00:00
197,169,"2",260,320,2005-06-04 00:00:00,2005-06-15 00:00:00
198,232,"4",152,614,2006-02-04 00:00:00,2005-12-22 00:00:00
199,27,"1",117,606,2005-03-02 00:00:00,2005-03-07 00:00:00
200,205,"4",283,283,2006-02-16 00:00:00,2006-02-11 00:00:00
201,31,"cred",217,217,2005-06-01 00:00:00,2005-05-05 00:00:00
202,130,"4",66,66,2005-04-03 00:00:00,2005-02-22 00:00:00
203,237,"cred",176,201,2005-04-19 00:00:00,2005-04-08 00:00:00
204,81,"cred",257,279,2005-02-01 00:00:00,2005-01-29 00:00:00
205,53,"3",247,536,2005-09-24 00:00:00,2005-08-20 00:00:00
206,2,"3",320,320,2006-04-10 00:00:00,2006-03-09 00:00:00
207,209,"2",207,301,2006-01-13 00:00:00,2005-12-18 00:00:00
208,246,"2",230,284,2006-07-21 00:00:00,2006-06-16 00:00:00
209,85,"cred",170,170,2005-11-22 00:00:00,2005-12-08 00:00:00
210,8,"2",113,336,2006-06-13 00:00:00,2006-06-18 00:00:00
211,30,"cred",218,313,2006-03-03 00:00:00,2006-01-20 00:00:00
212,183,"2",242,242,2006-01-30 00:00:00,2006-01-08 00:00:00
213,84,"cred",332,332,2005-08-01 00:00:00,2005-07-20 00:00:00
214,168,"2",335,739,2006-07-30 00:00:00,2006-06-16 00:00:00
215,87,"4",229,578,2005-06-17 00:00:00,2005-06-26 00:00:00
216,44,"2",71,71,2006-04-24 00:00:00,2006-04-11 00:00:00
217,43,"4",358,491,2005-01-06 00:00:00,2005-01-08 00:00:00
218,170,"cred",285,613,2006-02-12 00:00:00,2006-02-04 00:00:00
219,66,"3",154,154,2006-11-15 00:00:00,2006-11-17 00:00:00
220,245,"cred",328,328,2006-10-20 00:00:00,2006-09-07 00:00:00
221,170,"3",110,173,2005-05-25 00:00:00,2005-05-20 00:00:00
222,63,"4",349,828,2005-05-28 00:00:00,2005-05-16 00:00:00
223,47,"4",359,587,2005-08-13 00:00:00,2005-07-09 00:00:00
224,87,"4",73,281,2005-03-29 00:00:00,2005-03-04 00:00:00
225,209,"3",201,201,2005-05-14 00:00:00,2005-05-17 00:00:00
226,172,"2",126,126,,
227,66,"4",204,417,2006-01-28 00:00:00,2006-01-26 00:00:00
228,197,"cred",151,304,2005-08-12 00:00:00,2005-07-02 00:00:00
229,41,"2",352,352,2005-08-14 00:00:00,2005-08-16 00:00:00
230,132,"4",196,382,2005-08-25 00:00:00,2005-09-03 00:00:00
231,126,"2",202,506,2006-10-12 00:00:00,2006-10-09 00:00:00
232,213,"cred",225,499,2005-04-02 00:00:00,2005-04-11 00:00:00
233,245,"3",287,721,2005-10-29 00:00:00,2005-10-13 00:00:00
234,224,"cred",279,397,2006-07-01 00:00:00,2006-07-04 00:00:00
235,238,"4",343,343,2006-05-09 00:00:00,2006-05-11 00:00:00
236,247,"2",249,582,2005-11-03 00:00:00,2005-11-12 00:00:00
237,96,"cred",280,473,2006-01-30 00:00:00,2006-02-02 00:00:00
238,163,"2",355,355,2005-03-27 00:00:00,2005-04-12 00:00:00
239,228,"3",93,93,2005-06-13 00:00:00,2005-06-19 00:00:00
240,151,"4",266,763,2005-01-03 00:00:00,2004-12-24 00:00:00
241,63,"4",162,162,2006-08-03 00:00:00,2006-08-20 00:00:00
242,170,"3",282,709,2006-02-26 00:00:00,2006-02-22 00:00:00
243,178,"3",123,123,2006-10-28 00:00:00,2006-10-24 00:00:00
244,57,"4",336,823,2006-04-17 00:00:00,2006-04-21 00:00:00
245,182,"cred",74,307,2006-09-29 00:00:00,2006-10-17 00:00:00
246,248,"4",159,159,2005-09-26 00:00:00,2005-09-10 00:00:00
247,221,"cred",212,236,2005-02-21 00:00:00,2005-03-11 00:00:00
248,5,"2",236,590,2006-03-12 00:00:00,2006-03-07 00:00:00
249,173,"2",82,134,2006-09-12 00:00:00,2006-07-29 00:00:00
250,246,"4",228,349,2005-04-01 00:00:00,2005-03-12 00:00:00
251,130,"cred",91,91,2006-12-23 00:00:00,2006-12-12 00:00:00
252,198,"4",106,106,2005-09-08 00:00:00,2005-07-18 00:00:00
253,212,"3",303,303,2006-09-20 00:00:00,2006-09-16 00:00:00
254,50,"2",119,119,2005-02-07 00:00:00,2005-01-09 00:00:00
255,90,"2",77,506,2006-12-07 00:00:00,2006-11-09 00:00:00
256,145,"3",323,443,2005-05-08 00:00:00,2005-05-04 00:00:00
257,230,"2",236,236,2006-11-05 00:00:00,2006-11-12 00:00:00
258,220,"2",89,89,2006-01-01 00:00:00,2005-12-18 00:00:00
259,43,"2",344,774,2006-05-03 00:00:00,2006-05-31 00:00:00
260,83,"2",255,424,2006-12-21 00:00:00,2006-11-26 00:00:00
261,102,"cred",142,142,2005-03-28 00:00:00,2005-04-05 00:00:00
262,122,"2",195,195,2005-12-03 00:00:00,2005-10-26 00:00:00
263,102,"cred",341,569,,
264,212,"4",326,711,2006-07-01 00:00:00,2006-07-10 00:00:00
265,48,"4",183,183,2006-06-16 00:00:00,2006-05-13 00:00:00
266,19,"4",117,117,2005-11-12 00:00:00,2005-10-14 00:00:00
267,183,"3",316,316,2006-01-28 00:00:00,2006-01-01 00:00:00
268,2,"cred",333,333,2005-04-24 00:00:00,2005-04-20 00:00:00
269,29,"2",294,519,2006-01-19 00:00:00,2005-12-27 00:00:00
270,74,"3",203,460,2005-11-17 00:00:00,2005-11-19 00:00:00
271,193,"3",129,352,2006-07-02 00:00:00,2006-06-04 00:00:00
272,189,"3",309,457,2006-11-19 00:00:00,2006-11-08 00:00:00
273,256,"3",120,120,2005-11-06 00:00:00,2005-10-10 00:00:00
274,10,"2",223,223,2006-06-17 00:00:00,2006-05-25 00:00:00
275,170,"4",228,251,2006-02-20 00:00:00,2006-02-03 00:00:00
276,164,"3",147,211,2005-01-15 00:00:00,2004-12-27 00:00:00
277,206,"cred",272,318,2006-01-28 00:00:00,2005-12-15 00:00:00
278,70,"3",118,118,2006-06-03 00:00:00,2006-05-13 00:00:00
279,243,"4",150,648,2005-05-21 00:00:00,2005-04-14 00:00:00
280,155,"3",249,534,2006-08-01 00:00:00,2006-07-22 00:00:00
281,186,"3",327,327,2005-06-28 00:00:00,2005-07-17 00:00:00
282,115,"4",228,432,2006-10-28 00:00:00,2006-10-28 00:00:00
283,13,"4",262,723,2005-06-27 00:00:00,2005-07-10 00:00:00
284,74,"3",258,258,2005-07-20 00:00:00,2005-06-18 00:00:00
285,19,"cred",333,333,2005-12-16 00:00:00,2005-12-08 00:00:00
286,8,"3",229,229,2005-11-07 00:00:00,2005-11-17 00:00:00
287,220,"cred",120,120,2006-01-09 00:00:00,2006-01-09 00:00:00
288,157,"2",212,431,2006-05-02 00:00:00,2006-05-16 00:00:00
289,89,"cred",77,284,2005-05-02 00:00:00,2005-04-06 00:00:00
290,132,"cred",288,740,2005-09-04 00:00:00,2005-07-21 00:00:00
291,146,"4",307,307,2005-08-08 00:00:00,2005-07-06 00:00:00
292,229,"cred",145,250,2005-06-08 00:00:00,2005-05-18 00:00:00
293,206,"4",303,303,2005-03-16 00:00:00,2005-03-15 00:00:00
294,54,"2",96,416,2006-02-10 00:00:00,2006-01-08 00:00:00
295,204,"2",105,105,2005-07-23 00:00:00,2005-06-22 00:00:00
296,186,"2",295,295,2005-06-26 00:00:00,2005-06-19 00:00:00
297,65,"3",343,343,2005-07-14 00:00:00,2005-07-03 00:00:00
298,217,"4",327,632,2006-12-18 00:00:00,2006-12-12 00:00:00
299,192,"cred",239,239,2005-04-16 00:00:00,2005-03-30 00:00:00
300,118,"4",351,351,2006-01-07 00:00:00,2005-12-12 00:00:00
301,126,"2",104,104,2005-01-24 00:00:00,2005-02-05 00:00:00
302,136,"2",227,404,2005-07-05 00:00:00,2005-06-18 00:00:00
303,52,"2",353,487,2005-08-24 00:00:00,2005-08-24 00:00:00
304,28,"4",293,483,2005-12-03 00:00:00,2005-11-24 00:00:00
305,173,"2",345,345,2005-11-16 00:00:00,2005-11-06 00:00:00
306,6,"3",129,450,2005-02-28 00:00:00,2005-02-12 00:00:00
307,250,"cred",232,538,2006-08-10 00:00:00,2006-08-16 00:00:00
308,104,"3",232,232,2006-10-30 00:00:00,2006-10-09 00:00:00
309,252,"4",254,602,2006-12-16 00:00:00,2006-12-12 00:00:00
310,123,"3",69,69,2005-11-25 00:00:00,2005-11-20 00:00:00
311,82,"4",188,188,2006-10-23 00:00:00,2006-10-28 00:00:00
312,160,"2",218,580,2005-11-11 00:00:00,2005-10-11 00:00:00
313,145,"2",357,357,2005-11-18 00:00:00,2005-12-08 00:00:00
314,58,"2",132,132,2006-02-06 00:00:00,2005-12-23 00:00:00
315,41,"3",168,168,2006-04-01 00:00:00,2006-03-02 00:00:00
316,119,"3",238,498,2005-03-05 00:00:00,2005-02-08 00:00:00
317,255,"cred",267,267,2005-08-06 00:00:00,2005-08-16 00:00:00
318,94,"4",233,334,2006-03-08 00:00:00,2006-03-02 00:00:00
319,211,"2",196,196,2005-01-06 00:00:00,2004-12-09 00:00:00
320,73,"4",342,352,2005-11-10 00:00:00,2005-11-18 00:00:00
321,223,"4",62,62,2006-07-08 00:00:00,2006-06-04 00:00:00
322,42,"2",72,72,2006-08-01 00:00:00,2006-06-30 00:00:00
323,52,"cred",99,129,2006-03-21 00:00:00,2006-03-08 00:00:00
324,245,"2",121,121,2005-05-05 00:00:00,2005-04-17 00:00:00
325,58,"2",226,226,2005-12-27 00:00:00,2005-12-25 00:00:00
326,67,"4",216,523,2006-01-06 00:00:00,2005-12-22 00:00:00
327,27,"3",198,198,2005-01-16 00:00:00,2005-01-02 00:00:00
328,53,"4",93,426,2005-05-21 00:00:00,2005-05-06 00:00:00
329,141,"cred",257,257,2005-04-21 00:00:00,2005-04-22 00:00:00
330,141,"2",75,516,2005-11-14 00:00:00,2005-09-29 00:00:00
331,208,"3",200,485,2005-04-02 00:00:00,2005-03-11 00:00:00
332,37,"4",268,309,2005-06-05 00:00:00,2005-06-05 00:00:00
333,149,"4",176,176,2006-10-27 00:00:00,2006-08-30 00:00:00
334,243,"3",324,324,2005-05-29 00:00:00,2005-05-21 00:00:00
335,220,"cred",153,474,2005-09-02 00:00:00,2005-08-17 00:00:00
336,51,"cred",267,686,2005-09-29 00:00:00,2005-09-26 00:00:00
337,170,"4",264,278,2005-05-11 00:00:00,2005-04-17 00:00:00
338,218,"2",275,396,2005-02-10 00:00:00,2005-01-09 00:00:00
339,9,"3",65,65,2006-11-30 00:00:00,2006-10-28 00:00:00
340,253,"3",118,118,2005-05-31 00:00:00,2005-05-01 00:00:00
341,131,"3",87,87,2006-06-04 00:00:00,2006-05-21 00:00:00
342,137,"cred",115,115,2005-08-19 00:00:00,2005-07-17 00:00:00
343,234,"4",147,360,2006-07-02 00:00:00,2006-06-24 00:00:00
344,217,"4",271,271,2005-02-15 00:00:00,2005-01-23 00:00:00
345,56,"3",323,758,2006-02-15 00:00:00,2006-01-12 00:00:00
346,210,"cred",309,558,2006-10-10 00:00:00,2006-10-20 00:00:00
347,180,"2",237,629,2006-10-13 00:00:00,2006-09-21 00:00:00
348,184,"4",226,590,2006-04-23 00:00:00,2006-03-27 00:00:00
349,256,"4",261,261,2006-07-31 00:00:00,2006-06-25 00:00:00
350,179,"4",336,336,2005-09-28 00:00:00,2005-09-29 00:00:00
351,141,"4",287,294,2006-02-21 00:00:00,2006-01-25 00:00:00
352,196,"2",293,293,2005-02-04 00:00:00,2005-01-04 00:00:00
353,113,"4",227,489,2005-08-19 00:00:00,2005-07-10 00:00:00
354,125,"2",333,357,2005-01-30 00:00:00,2005-02-04 00:00:00
355,65,"4",67,67,2005-01-30 00:00:00,2005-01-22 00:00:00
356,130,"4",135,135,2006-08-06 00:00:00,2006-08-03 00:00:00
357,58,"2",191,191,2005-07-23 00:00:00,2005-06-13 00:00:00
358,173,"cred",329,329,2005-11-15 00:00:00,2005-10-02 00:00:00
359,62,"3",217,217,2005-07-20 00:00:00,2005-06-23 00:00:00
360,172,"2",104,104,2005-09-13 00:00:00,2005-08-29 00:00:00
361,82,"3",293,583,2005-07-27 00:00:00,2005-07-05 00:00:00
362,168,"3",214,214,2005-03-10 00:00:00,2005-03-05 00:00:00
363,147,"3",270,294,2005-07-08 00:00:00,2005-05-27 00:00:00
364,181,"2",300,300,2005-12-07 00:00:00,2005-10-25 00:00:00
365,99,"2",243,549,2006-02-05 00:00:00,2006-02-27 00:00:00
366,59,"cred",145,515,2005-07-07 00:00:00,2005-05-16 00:00:00
367,155,"2",227,227,2006-02-06 00:00:00,2006-02-23 00:00:00
368,222,"cred",303,457,2005-10-05 00:00:00,2005-08-30 00:00:00
369,64,"4",91,143,2005-05-25 00:00:00,2005-04-25 00:00:00
370,229,"2",170,238,2005-11-11 00:00:00,2005-10-14 00:00:00
371,102,"4",273,273,2005-08-24 00:00:00,2005-07-18 00:00:00
372,38,"2",114,339,2005-04-25 00:00:00,2005-03-24 00:00:00
373,138,"2",88,396,2005-07-05 00:00:00,2005-06-17 00:00:00
374,143,"3",187,333,2005-01-20 00:00:00,2004-12-08 00:00:00
375,108,"4",280,730,2006-10-22 00:00:00,2006-10-31 00:00:00
376,223,"3",163,163,2006-06-21 00:00:00,2006-05-18 00:00:00
377,196,"3",340,346,2006-05-09 00:00:00,2006-04-13 00:00:00
378,22,"4",339,473,2006-05-30 00:00:00,2006-05-21 00:00:00
379,49,"3",81,547,2005-05-25 00:00:00,2005-05-31 00:00:00
380,141,"3",223,238,2006-12-13 00:00:00,2006-12-26 00:00:00
381,212,"cred",298,354,2006-12-09 00:00:00,2006-12-06 00:00:00
