Datetime,DestIP,Packets loss %,One-way Delay min,One-way Delay median,One-way Delay max,One-way Delay err,One-way jitter,Hops
2011-11-14 15:22:00,137.189.27.61,0.333,32.4,33.2,157,14.8,7.7,6
2011-11-14 15:22:00,64.57.17.162,1.667,87.3,88,97.9,6,2.9,10
2011-11-14 15:22:00,206.12.24.110,2.000,139,208,249,5.17,33.3,13
2011-11-14 15:22:00,193.48.99.79,1.333,165,166,181,8.76,3.1,20
2011-11-14 15:22:00,193.48.99.79,1.333,165,166,181,8.76,3.1,20
2011-11-14 15:22:00,130.246.179.197,1.667,177,206,225,5.33,11.6,20
2011-11-14 15:22:00,90.147.67.252,0.667,182,209,236,5.16,10.7,21
2011-11-14 16:52:00,137.189.27.61,0.333,10.1,10.7,148,14.7,5.3,6
2011-11-14 16:52:00,64.57.17.162,2.333,88.3,88.9,118,5.25,0.8,10
2011-11-14 16:52:00,64.57.17.162,2.333,88.3,88.9,118,5.25,0.8,10
2011-11-14 16:52:00,206.12.24.110,0.667,123,153,229,4.4,60,13
2011-11-14 16:52:00,193.48.99.79,0.667,179,195,335,8.64,15.8,20
2011-11-14 16:52:00,130.246.179.197,0.000,177,197,216,4.53,13.5,20
2011-11-14 16:52:00,90.147.67.252,0.333,191,223,285,4.39,46.1,21
2011-11-16 06:52:00,137.189.27.61,0.000,4.56,5.2,11.9,4.18,0.5,6
2011-11-16 06:52:00,64.57.17.162,0.000,86.3,86.9,90.8,3.48,0.6,10
2011-11-16 06:52:00,206.12.24.110,0.000,120,121,130,2.23,2.4,13
2011-11-16 06:52:00,193.48.99.79,0.000,172,173,173,3.39,0.4,20
2011-11-16 06:52:00,130.246.179.197,0.000,184,185,195,16.3,0.6,20
2011-11-16 06:52:00,90.147.67.252,0.333,179,180,185,2.88,1.7,21
2011-11-23 04:22:00,137.189.27.61,100.000,nan,nan,nan,1.2,nan,0
2011-11-23 04:22:00,64.57.17.162,0.000,86.9,87.5,92.6,3.72,0.4,10
2011-11-23 04:22:00,206.12.24.110,0.000,120,121,124,2.78,0.5,13
2011-11-23 04:22:00,193.48.99.79,0.000,178,178,189,3.06,0.9,20
2011-11-23 04:22:00,130.246.179.197,0.000,175,175,188,2.88,0.8,20
2011-11-23 04:22:00,90.147.67.252,0.000,180,181,182,3.33,0.6,21
2011-11-27 06:22:00,137.189.27.61,0.000,-0.855,-0.4,55.9,0.653,0.6,6
2011-11-27 06:22:00,64.57.17.162,0.000,85.3,85.9,87.5,2.01,0.4,10
2011-11-27 06:22:00,206.12.24.110,0.000,119,119,122,0.57,0.6,13
2011-11-27 06:22:00,193.48.99.79,0.000,175,175,178,0.885,0.4,20
2011-11-27 06:22:00,130.246.179.197,0.000,173,174,184,0.668,0.6,20
2011-11-27 06:22:00,90.147.67.252,0.667,178,179,184,0.711,1.7,21
2011-11-12 23:52:00,64.57.17.162,0.000,84.5,85.1,90.9,1.29,0.5,10
2011-11-12 23:52:00,206.12.24.110,0.000,120,121,146,0.411,8.8,13
2011-11-12 23:52:00,193.48.99.79,0.000,175,176,178,0.988,0.4,20
2011-11-12 23:52:00,130.246.179.197,0.000,174,175,185,0.511,0.6,20
2011-11-12 23:52:00,90.147.67.252,0.000,180,180,187,0.522,0.9,21
2011-11-12 23:52:00,90.147.67.252,0.000,180,180,187,0.522,0.9,21
2011-11-22 06:52:00,137.189.27.61,0.000,-1.51,-1,183,3.28,1.6,6
2011-11-22 06:52:00,64.57.17.162,0.000,83.6,84.1,85.3,3.75,0.5,10
2011-11-22 06:52:00,206.12.24.110,0.000,119,120,134,2.48,5,13
2011-11-22 06:52:00,193.48.99.79,0.000,175,175,182,2.79,1.4,20
2011-11-22 06:52:00,130.246.179.197,0.000,173,174,184,2.57,2.9,20
2011-11-22 06:52:00,90.147.67.252,0.000,178,179,186,2.74,3.1,21
2011-11-23 12:52:00,137.189.27.61,0.333,-43.6,-24.2,-0.729,16.3,13.9,6
2011-11-23 12:52:00,64.57.17.162,0.667,41.7,62,83.3,16.7,12.9,10
2011-11-23 12:52:00,206.12.24.110,0.333,76.1,93.3,114,15.9,12,13
2011-11-23 12:52:00,193.48.99.79,1.000,134,135,145,16,1.2,20
2011-11-23 12:52:00,130.246.179.197,1.333,130,131,142,15.9,2.2,20
2011-11-23 12:52:00,90.147.67.252,1.000,136,137,149,15.6,2.5,21
2011-11-25 13:22:00,137.189.27.61,0.333,2.34,27.1,47.1,6.12,11.9,6
2011-11-25 13:22:00,64.57.17.162,1.000,86.5,112,134,7.36,13.2,10
2011-11-25 13:22:00,206.12.24.110,0.333,122,123,133,6.08,4.1,13
2011-11-25 13:22:00,193.48.99.79,1.000,179,204,227,6.34,13.6,20
2011-11-25 13:22:00,130.246.179.197,0.667,176,177,192,6.49,5,20
2011-11-25 13:22:00,90.147.67.252,0.667,182,183,257,6.66,6.3,21
2011-11-25 13:22:00,90.147.67.252,0.667,182,183,257,6.66,6.3,21
2011-11-25 13:22:00,90.147.67.252,0.667,182,183,257,6.66,6.3,21
2011-11-20 08:22:00,137.189.27.61,0.000,0.0281,0.5,2.77,6.34,0.5,6
2011-11-20 08:22:00,64.57.17.162,0.000,84,84.6,86.4,1.38,0.4,10
2011-11-20 08:22:00,206.12.24.110,0.333,133,189,214,22.6,20.3,13
2011-11-20 08:22:00,193.48.99.79,0.000,173,173,175,15.6,0.5,20
2011-11-20 08:22:00,130.246.179.197,0.000,174,174,177,0.294,0.5,20
2011-11-20 08:22:00,90.147.67.252,1.000,179,179,184,0.345,1.3,21
2011-11-18 00:52:00,137.189.27.61,0.000,21.9,22.5,24.4,28.5,0.4,6
2011-11-18 00:52:00,64.57.17.162,0.000,84.1,95.1,112,9.39,9.2,10
2011-11-18 00:52:00,206.12.24.110,0.000,167,509,798,8.33,263,13
2011-11-18 00:52:00,193.48.99.79,0.000,180,180,185,9.38,0.4,20
2011-11-18 00:52:00,130.246.179.197,0.000,173,191,212,8.5,13.9,20
2011-11-18 00:52:00,90.147.67.252,0.000,186,207,229,10.7,11.6,22
2011-11-13 09:52:00,137.189.27.61,0.000,11.1,11.9,17.6,2.53,2.3,6
2011-11-13 09:52:00,64.57.17.162,0.000,81.4,82.2,89,1.59,2.8,10
2011-11-13 09:52:00,206.12.24.110,0.000,95.4,96.1,98.6,0.834,0.4,14
2011-11-13 09:52:00,193.48.99.79,0.000,172,173,175,1.33,0.5,20
2011-11-13 09:52:00,130.246.179.197,0.000,171,172,182,0.916,0.4,20
2011-11-13 09:52:00,90.147.67.252,1.000,176,177,188,0.885,5.6,21
2011-11-21 12:52:00,137.189.27.61,0.667,11.7,36.1,55.2,10.3,11.4,6
2011-11-21 12:52:00,137.189.27.61,0.667,11.7,36.1,55.2,10.3,11.4,6
2011-11-21 12:52:00,64.57.17.162,0.000,83.1,83.8,96.6,1.52,0.5,10
2011-11-21 12:52:00,206.12.24.110,0.667,151,218,246,0.404,17.6,13
2011-11-21 12:52:00,193.48.99.79,0.333,176,198,374,0.71,12.8,20
2011-11-21 12:52:00,130.246.179.197,1.000,173,174,183,0.631,1,20
2011-11-21 12:52:00,90.147.67.252,2.333,179,180,197,0.525,1.2,21
2011-11-21 12:52:00,90.147.67.252,2.333,179,180,197,0.525,1.2,21
2011-11-16 19:52:00,137.189.27.61,0.667,10.4,11,47,14.8,0.5,6
2011-11-16 19:52:00,64.57.17.162,0.667,91.2,91.8,93.3,14.8,0.4,10
2011-11-16 19:52:00,206.12.24.110,0.000,126,126,133,13.8,0.6,13
2011-11-16 19:52:00,193.48.99.79,0.000,188,188,200,14.2,0.4,20
2011-11-16 19:52:00,130.246.179.197,1.333,181,182,192,15.8,1.7,20
2011-11-16 19:52:00,90.147.67.252,0.667,184,185,196,16.4,1.2,21
2011-11-18 17:52:00,137.189.27.61,2.000,1.84,32,56.4,12.9,13.6,6
2011-11-18 17:52:00,64.57.17.162,1.000,83.1,83.8,89.4,11.6,0.7,10
2011-11-18 17:52:00,206.12.24.110,0.333,118,119,127,10.4,0.5,13
2011-11-18 17:52:00,193.48.99.79,0.667,173,174,189,11.2,0.6,20
2011-11-18 17:52:00,130.246.179.197,4.667,173,203,222,10.5,18.7,20
2011-11-18 17:52:00,90.147.67.252,0.667,184,184,194,10.8,1.1,22
2011-11-17 05:52:00,137.189.27.61,0.000,10.1,10.7,66.9,5.2,0.5,6
2011-11-17 05:52:00,64.57.17.162,0.000,91.3,91.8,94.5,4.48,0.5,10
2011-11-17 05:52:00,206.12.24.110,0.000,125,126,129,3.11,0.5,13
2011-11-17 05:52:00,193.48.99.79,0.000,180,181,192,4.39,0.6,20
2011-11-17 05:52:00,130.246.179.197,0.000,180,181,191,3.59,0.5,20
2011-11-17 05:52:00,90.147.67.252,1.333,185,186,204,3.65,5.5,21
2011-11-22 19:52:00,137.189.27.61,1.000,-1.47,-0.9,1.58,14,0.4,6
2011-11-22 19:52:00,64.57.17.162,0.333,84.4,85,96.4,13.3,0.4,10
2011-11-22 19:52:00,206.12.24.110,2.000,119,146,167,11.8,12.6,13
2011-11-22 19:52:00,193.48.99.79,1.333,173,174,205,12.3,0.5,20
2011-11-22 19:52:00,130.246.179.197,0.000,172,173,190,11.9,0.7,20
2011-11-22 19:52:00,90.147.67.252,1.000,176,189,226,13.2,28.7,21
2011-11-14 04:22:00,137.189.27.61,0.000,3.31,3.9,8.03,1.25,0.9,6
2011-11-14 04:22:00,64.57.17.162,0.000,82.6,83.2,83.7,0.887,0.4,10
2011-11-14 04:22:00,206.12.24.110,0.000,119,119,121,0.405,0.5,13
2011-11-14 04:22:00,193.48.99.79,0.000,175,176,179,1.62,1,20
2011-11-14 04:22:00,130.246.179.197,0.000,173,173,178,0.467,0.5,20
2011-11-14 04:22:00,90.147.67.252,0.333,178,179,181,0.412,0.5,21
2011-11-14 09:22:00,137.189.27.61,0.000,4.36,5.1,9.06,12.4,0.4,6
2011-11-14 09:22:00,64.57.17.162,0.000,85.5,86.2,88.8,1.59,0.5,10
2011-11-14 09:22:00,206.12.24.110,0.000,121,128,217,0.561,47.5,13
2011-11-14 09:22:00,193.48.99.79,0.000,193,193,197,1.71,0.4,20
2011-11-14 09:22:00,130.246.179.197,0.000,175,175,192,0.615,1.3,20
2011-11-14 09:22:00,90.147.67.252,0.000,180,181,185,0.558,1.1,21
2011-11-20 23:52:00,137.189.27.61,0.000,-1.76,-1.2,176,6.93,6.2,6
2011-11-20 23:52:00,64.57.17.162,0.333,84.5,85.1,91,1.46,0.5,10
2011-11-20 23:52:00,206.12.24.110,0.000,120,126,150,1.02,12.8,13
2011-11-20 23:52:00,193.48.99.79,0.000,175,176,182,2.06,0.5,20
2011-11-20 23:52:00,130.246.179.197,0.000,173,174,191,0.414,1.2,20
2011-11-20 23:52:00,90.147.67.252,0.000,179,180,188,0.544,0.5,21
2011-11-21 23:52:00,137.189.27.61,0.333,-4.71,-4.2,137,15.9,0.6,6
2011-11-21 23:52:00,64.57.17.162,0.000,81.9,106,125,9.23,10.3,10
2011-11-21 23:52:00,206.12.24.110,0.333,119,147,222,8.02,25.6,13
2011-11-21 23:52:00,193.48.99.79,0.000,175,197,246,8.78,13.5,20
2011-11-21 23:52:00,130.246.179.197,0.000,172,193,210,8.17,12.2,20
2011-11-21 23:52:00,90.147.67.252,0.000,177,193,216,8.41,11.9,21
2011-11-22 16:22:00,137.189.27.61,2.000,6.75,7.5,36,15.3,5.6,6
2011-11-22 16:22:00,64.57.17.162,0.333,92.2,93,115,16.7,2.6,10
2011-11-22 16:22:00,64.57.17.162,0.333,92.2,93,115,16.7,2.6,10
2011-11-22 16:22:00,206.12.24.110,0.000,127,127,151,15.2,5.2,13
2011-11-22 16:22:00,193.48.99.79,1.333,182,196,221,15.4,15.3,20
2011-11-22 16:22:00,130.246.179.197,0.000,181,181,193,15.4,2.6,20
2011-11-22 16:22:00,90.147.67.252,1.667,186,188,204,15.4,10.3,21
2011-11-28 00:22:00,137.189.27.61,0.333,5.1,5.7,13.1,2.19,0.4,6
2011-11-28 00:22:00,64.57.17.162,0.000,88.4,89,90,1.82,0.3,10
2011-11-28 00:22:00,206.12.24.110,0.000,125,135,163,0.951,14.3,13
2011-11-28 00:22:00,193.48.99.79,0.000,180,188,205,1.3,8.5,20
2011-11-28 00:22:00,130.246.179.197,0.000,179,180,194,1.01,0.5,20
2011-11-28 00:22:00,90.147.67.252,0.000,185,185,193,1.21,0.4,21
2011-11-25 19:22:00,137.189.27.61,0.333,-4.43,20.5,210,8.67,25.5,6
2011-11-25 19:22:00,64.57.17.162,1.000,80.8,106,122,9.33,10.8,10
2011-11-25 19:22:00,206.12.24.110,0.333,116,117,124,11.4,0.6,13
2011-11-25 19:22:00,193.48.99.79,0.333,169,194,226,8.96,11,20
2011-11-25 19:22:00,130.246.179.197,0.667,169,193,216,8.09,11,20
2011-11-25 19:22:00,90.147.67.252,0.333,175,198,215,8.26,12.3,21
2011-11-13 02:52:00,137.189.27.61,0.000,-1.14,-0.5,4.5,3.07,1.9,6
2011-11-13 02:52:00,64.57.17.162,0.000,79.2,79.8,80.7,1.53,0.5,10
2011-11-13 02:52:00,206.12.24.110,0.000,115,115,191,0.64,9,13
2011-11-13 02:52:00,193.48.99.79,0.000,168,169,170,1.1,0.5,20
2011-11-13 02:52:00,130.246.179.197,0.000,169,170,182,0.735,0.5,20
2011-11-13 02:52:00,90.147.67.252,1.000,174,175,181,0.709,1.8,21
2011-11-28 23:52:00,137.189.27.61,0.000,-0.906,-0.3,7.61,6.44,0.5,6
2011-11-28 23:52:00,64.57.17.162,0.333,84,84.6,91.8,5.19,0.4,10
2011-11-28 23:52:00,206.12.24.110,0.000,119,120,127,6.3,2,13
2011-11-28 23:52:00,193.48.99.79,0.000,175,176,181,4.05,0.5,20
2011-11-28 23:52:00,130.246.179.197,0.333,173,173,188,3.7,1.5,20
2011-11-28 23:52:00,90.147.67.252,0.333,179,180,186,5.54,1.2,21
2011-11-15 14:22:00,137.189.27.61,0.667,12,12.8,121,21,5.9,6
2011-11-15 14:22:00,64.57.17.162,0.333,92.3,93.2,187,11.9,2.9,10
2011-11-15 14:22:00,64.57.17.162,0.333,92.3,93.2,187,11.9,2.9,10
2011-11-15 14:22:00,206.12.24.110,0.667,128,151,414,10.9,14.1,13
2011-11-15 14:22:00,206.12.24.110,0.667,128,151,414,10.9,14.1,13
2011-11-15 14:22:00,193.48.99.79,2.333,186,214,232,11,13.4,20
2011-11-15 14:22:00,130.246.179.197,1.000,183,184,206,11,7.5,20
2011-11-15 14:22:00,90.147.67.252,0.667,188,212,233,10.7,13.8,21
2011-11-24 09:52:00,137.189.27.61,0.000,-0.751,-0.2,6.21,2,0.5,6
2011-11-24 09:52:00,64.57.17.162,0.000,83.1,83.7,89.7,3.73,0.4,10
2011-11-24 09:52:00,64.57.17.162,0.000,83.1,83.7,89.7,3.73,0.4,10
2011-11-24 09:52:00,206.12.24.110,0.000,119,120,138,1.86,7,13
2011-11-24 09:52:00,193.48.99.79,0.667,178,179,187,1.87,1.2,21
2011-11-24 09:52:00,130.246.179.197,0.000,174,175,181,2.09,0.7,20
2011-11-24 09:52:00,90.147.67.252,0.333,184,185,193,1.72,1.3,22
2011-11-25 21:22:00,137.189.27.61,100.000,nan,nan,nan,0.572,nan,0
2011-11-25 21:22:00,64.57.17.162,2.000,78.1,78.7,89.1,7.06,0.8,10
2011-11-25 21:22:00,206.12.24.110,0.000,114,147,187,7.63,34.4,13
2011-11-25 21:22:00,193.48.99.79,0.000,169,170,182,6.03,0.7,20
2011-11-25 21:22:00,130.246.179.197,0.000,168,168,179,5.42,0.6,20
2011-11-25 21:22:00,90.147.67.252,1.000,173,174,182,6.03,1.9,21
2011-11-29 05:52:00,137.189.27.61,0.000,-0.13,0.4,1.59,11.5,0.5,6
2011-11-29 05:52:00,64.57.17.162,0.000,83.5,84.1,86,2.59,0.4,10
2011-11-29 05:52:00,206.12.24.110,0.000,119,120,133,2.14,5.6,13
2011-11-29 05:52:00,193.48.99.79,0.000,177,177,183,1.88,0.5,20
2011-11-29 05:52:00,130.246.179.197,0.000,173,174,190,1.66,4.6,20
2011-11-29 05:52:00,90.147.67.252,0.000,179,180,185,2.33,2.6,21
2011-11-13 03:22:00,137.189.27.61,0.000,-0.862,-0.1,12.6,3.17,4.6,6
2011-11-13 03:22:00,64.57.17.162,0.000,79.1,79.8,86.5,1.83,4.2,10
