Datetime,DestIP,hops
2011-11-15 19:22:00,193.48.99.79,21
2011-11-15 19:22:00,130.246.179.197,21
2011-11-15 19:22:00,90.147.67.252,22
2011-11-29 12:22:00,137.189.27.61,7
2011-11-29 12:22:00,64.57.17.162,11
2011-11-29 12:22:00,206.12.24.110,14
2011-11-29 12:22:00,193.48.99.79,21
2011-11-29 12:22:00,130.246.179.197,21
2011-11-29 12:22:00,90.147.67.252,22
2011-11-14 01:22:00,137.189.27.61,7
2011-11-14 01:22:00,64.57.17.162,11
2011-11-14 01:22:00,206.12.24.110,14
2011-11-14 01:22:00,193.48.99.79,21
2011-11-14 01:22:00,130.246.179.197,21
2011-11-14 01:22:00,90.147.67.252,22
2011-11-29 16:22:00,137.189.27.61,7
2011-11-29 16:22:00,64.57.17.162,11
2011-11-29 16:22:00,206.12.24.110,14
2011-11-29 16:22:00,193.48.99.79,21
2011-11-29 16:22:00,130.246.179.197,21
2011-11-29 16:22:00,90.147.67.252,22
2011-11-26 21:22:00,137.189.27.61,7
2011-11-26 21:22:00,64.57.17.162,11
2011-11-26 21:22:00,206.12.24.110,14
2011-11-26 21:22:00,193.48.99.79,21
2011-11-26 21:22:00,130.246.179.197,21
2011-11-26 21:22:00,90.147.67.252,22
2011-11-17 15:22:00,137.189.27.61,7
2011-11-17 15:22:00,64.57.17.162,18
2011-11-17 15:22:00,206.12.24.110,14
2011-11-17 15:22:00,193.48.99.79,21
2011-11-17 15:22:00,130.246.179.197,21
2011-11-17 15:22:00,90.147.67.252,22
2011-11-13 14:22:00,137.189.27.61,7
2011-11-13 14:22:00,64.57.17.162,11
2011-11-13 14:22:00,206.12.24.110,14
2011-11-13 14:22:00,193.48.99.79,21
2011-11-13 14:22:00,130.246.179.197,21
2011-11-13 14:22:00,90.147.67.252,22
2011-11-19 21:52:00,137.189.27.61,7
2011-11-19 21:52:00,64.57.17.162,11
2011-11-19 21:52:00,206.12.24.110,14
2011-11-19 21:52:00,193.48.99.79,21
2011-11-19 21:52:00,130.246.179.197,21
2011-11-19 21:52:00,90.147.67.252,22
2011-11-20 19:52:00,137.189.27.61,7
2011-11-20 19:52:00,64.57.17.162,11
2011-11-20 19:52:00,206.12.24.110,17
2011-11-20 19:52:00,193.48.99.79,21
2011-11-20 19:52:00,130.246.179.197,21
2011-11-20 19:52:00,90.147.67.252,22
2011-11-13 19:22:00,137.189.27.61,7
2011-11-13 19:22:00,64.57.17.162,11
2011-11-13 19:22:00,206.12.24.110,14
2011-11-13 19:22:00,193.48.99.79,21
2011-11-13 19:22:00,130.246.179.197,21
2011-11-13 19:22:00,90.147.67.252,22
2011-11-14 10:22:00,137.189.27.61,7
2011-11-14 10:22:00,64.57.17.162,11
2011-11-14 10:22:00,206.12.24.110,14
2011-11-14 10:22:00,193.48.99.79,21
2011-11-14 10:22:00,130.246.179.197,21
2011-11-14 10:22:00,90.147.67.252,22
2011-11-13 00:22:00,137.189.27.61,7
2011-11-13 00:22:00,64.57.17.162,11
2011-11-13 00:22:00,206.12.24.110,14
2011-11-13 00:22:00,193.48.99.79,21
2011-11-13 00:22:00,130.246.179.197,21
2011-11-13 00:22:00,90.147.67.252,22
2011-11-13 08:52:00,137.189.27.61,7
2011-11-13 08:52:00,64.57.17.162,11
2011-11-13 08:52:00,206.12.24.110,15
2011-11-13 08:52:00,193.48.99.79,21
2011-11-13 08:52:00,130.246.179.197,21
2011-11-13 08:52:00,90.147.67.252,22
2011-11-26 00:52:00,137.189.27.61,7
2011-11-26 00:52:00,64.57.17.162,11
2011-11-26 00:52:00,206.12.24.110,14
2011-11-26 00:52:00,193.48.99.79,21
2011-11-26 00:52:00,130.246.179.197,21
2011-11-26 00:52:00,90.147.67.252,22
2011-11-29 00:52:00,137.189.27.61,7
2011-11-29 00:52:00,64.57.17.162,11
2011-11-29 00:52:00,206.12.24.110,14
2011-11-29 00:52:00,193.48.99.79,21
2011-11-29 00:52:00,130.246.179.197,21
2011-11-29 00:52:00,90.147.67.252,22
2011-11-25 16:22:00,137.189.27.61,7
2011-11-25 16:22:00,64.57.17.162,11
2011-11-25 16:22:00,206.12.24.110,14
2011-11-25 16:22:00,193.48.99.79,21
2011-11-25 16:22:00,130.246.179.197,21
2011-11-25 16:22:00,90.147.67.252,22
2011-11-27 03:52:00,137.189.27.61,7
2011-11-27 03:52:00,64.57.17.162,11
2011-11-27 03:52:00,206.12.24.110,14
2011-11-27 03:52:00,193.48.99.79,21
2011-11-27 03:52:00,130.246.179.197,21
2011-11-27 03:52:00,90.147.67.252,22
2011-11-18 06:52:00,137.189.27.61,7
2011-11-18 06:52:00,64.57.17.162,11
2011-11-18 06:52:00,206.12.24.110,14
2011-11-18 06:52:00,193.48.99.79,21
2011-11-18 06:52:00,130.246.179.197,21
2011-11-18 06:52:00,90.147.67.252,23
2011-11-25 22:22:00,137.189.27.61,7
2011-11-25 22:22:00,64.57.17.162,11
2011-11-25 22:22:00,206.12.24.110,14
2011-11-25 22:22:00,193.48.99.79,21
2011-11-25 22:22:00,130.246.179.197,21
2011-11-25 22:22:00,90.147.67.252,22
2011-11-23 06:52:00,137.189.27.61,7
2011-11-23 06:52:00,64.57.17.162,11
2011-11-23 06:52:00,206.12.24.110,14
2011-11-23 06:52:00,193.48.99.79,21
2011-11-23 06:52:00,130.246.179.197,21
2011-11-23 06:52:00,90.147.67.252,22
2011-11-19 17:52:00,137.189.27.61,7
2011-11-19 17:52:00,64.57.17.162,11
2011-11-19 17:52:00,206.12.24.110,14
2011-11-19 17:52:00,193.48.99.79,21
2011-11-19 17:52:00,130.246.179.197,21
2011-11-19 17:52:00,90.147.67.252,22
2011-11-23 19:22:00,137.189.27.61,7
2011-11-23 19:22:00,64.57.17.162,11
2011-11-23 19:22:00,206.12.24.110,14
2011-11-23 19:22:00,193.48.99.79,21
2011-11-23 19:22:00,130.246.179.197,21
2011-11-23 19:22:00,90.147.67.252,22
2011-11-13 06:22:00,137.189.27.61,7
2011-11-13 06:22:00,64.57.17.162,11
2011-11-13 06:22:00,206.12.24.110,14
2011-11-13 06:22:00,193.48.99.79,21
2011-11-13 06:22:00,130.246.179.197,21
2011-11-13 06:22:00,90.147.67.252,22
2011-11-25 13:22:00,137.189.27.61,7
2011-11-25 13:22:00,64.57.17.162,11
2011-11-25 13:22:00,206.12.24.110,14
2011-11-25 13:22:00,193.48.99.79,21
2011-11-25 13:22:00,130.246.179.197,21
2011-11-25 13:22:00,90.147.67.252,22
2011-11-21 14:22:00,137.189.27.61,7
2011-11-21 14:22:00,64.57.17.162,11
2011-11-21 14:22:00,206.12.24.110,14
2011-11-21 14:22:00,193.48.99.79,21
2011-11-21 14:22:00,130.246.179.197,21
2011-11-21 14:22:00,90.147.67.252,22
2011-11-25 14:52:00,137.189.27.61,7
2011-11-25 14:52:00,64.57.17.162,11
2011-11-25 14:52:00,206.12.24.110,14
2011-11-25 14:52:00,193.48.99.79,21
2011-11-25 14:52:00,130.246.179.197,21
2011-11-25 14:52:00,90.147.67.252,22
2011-11-19 14:52:00,137.189.27.61,7
2011-11-19 14:52:00,64.57.17.162,11
2011-11-19 14:52:00,206.12.24.110,14
2011-11-19 14:52:00,193.48.99.79,21
2011-11-19 14:52:00,130.246.179.197,21
2011-11-19 14:52:00,90.147.67.252,22
2011-11-14 02:22:00,137.189.27.61,7
2011-11-14 02:22:00,64.57.17.162,11
2011-11-14 02:22:00,206.12.24.110,14
2011-11-14 02:22:00,193.48.99.79,21
2011-11-14 02:22:00,130.246.179.197,21
2011-11-14 02:22:00,90.147.67.252,22
2011-11-26 10:22:00,137.189.27.61,7
2011-11-26 10:22:00,64.57.17.162,11
2011-11-26 10:22:00,206.12.24.110,14
2011-11-26 10:22:00,193.48.99.79,21
2011-11-26 10:22:00,130.246.179.197,21
2011-11-26 10:22:00,90.147.67.252,22
2011-11-16 09:22:00,137.189.27.61,7
2011-11-16 09:22:00,64.57.17.162,11
2011-11-16 09:22:00,206.12.24.110,14
2011-11-16 09:22:00,193.48.99.79,21
2011-11-16 09:22:00,130.246.179.197,21
2011-11-16 09:22:00,90.147.67.252,22
2011-11-18 13:22:00,137.189.27.61,7
2011-11-18 13:22:00,64.57.17.162,11
2011-11-18 13:22:00,206.12.24.110,14
2011-11-18 13:22:00,193.48.99.79,21
2011-11-18 13:22:00,130.246.179.197,21
2011-11-18 13:22:00,90.147.67.252,23
2011-11-26 06:22:00,137.189.27.61,7
2011-11-26 06:22:00,64.57.17.162,11
2011-11-26 06:22:00,206.12.24.110,14
2011-11-26 06:22:00,193.48.99.79,21
2011-11-26 06:22:00,130.246.179.197,21
2011-11-26 06:22:00,90.147.67.252,22
2011-11-20 10:22:00,137.189.27.61,7
2011-11-20 10:22:00,64.57.17.162,11
2011-11-20 10:22:00,206.12.24.110,14
2011-11-20 10:22:00,193.48.99.79,21
2011-11-20 10:22:00,130.246.179.197,21
2011-11-20 10:22:00,90.147.67.252,22
2011-11-28 21:52:00,137.189.27.61,7
2011-11-28 21:52:00,64.57.17.162,11
2011-11-28 21:52:00,206.12.24.110,14
2011-11-28 21:52:00,193.48.99.79,21
2011-11-28 21:52:00,130.246.179.197,21
2011-11-28 21:52:00,90.147.67.252,22
2011-11-13 15:22:00,137.189.27.61,7
2011-11-13 15:22:00,64.57.17.162,11
2011-11-13 15:22:00,206.12.24.110,14
2011-11-13 15:22:00,193.48.99.79,21
2011-11-13 15:22:00,130.246.179.197,21
2011-11-13 15:22:00,90.147.67.252,22
2011-11-24 19:22:00,137.189.27.61,7
2011-11-24 19:22:00,64.57.17.162,11
2011-11-24 19:22:00,206.12.24.110,14
2011-11-24 19:22:00,193.48.99.79,21
2011-11-24 19:22:00,130.246.179.197,21
2011-11-24 19:22:00,90.147.67.252,22
2011-11-18 12:52:00,137.189.27.61,7
2011-11-18 12:52:00,64.57.17.162,11
2011-11-18 12:52:00,206.12.24.110,14
2011-11-18 12:52:00,193.48.99.79,21
2011-11-18 12:52:00,130.246.179.197,21
2011-11-18 12:52:00,90.147.67.252,23
2011-11-16 00:22:00,137.189.27.61,7
2011-11-16 00:22:00,64.57.17.162,11
2011-11-16 00:22:00,206.12.24.110,14
2011-11-16 00:22:00,193.48.99.79,21
2011-11-16 00:22:00,130.246.179.197,21
2011-11-16 00:22:00,90.147.67.252,22
2011-11-20 16:22:00,137.189.27.61,7
2011-11-20 16:22:00,64.57.17.162,11
2011-11-20 16:22:00,206.12.24.110,14
2011-11-20 16:22:00,193.48.99.79,21
2011-11-20 16:22:00,130.246.179.197,21
2011-11-20 16:22:00,90.147.67.252,22
2011-11-17 19:52:00,137.189.27.61,7
2011-11-17 19:52:00,64.57.17.162,11
2011-11-17 19:52:00,206.12.24.110,14
2011-11-17 19:52:00,193.48.99.79,21
2011-11-17 19:52:00,130.246.179.197,21
2011-11-17 19:52:00,90.147.67.252,22
2011-11-24 03:22:00,137.189.27.61,7
2011-11-24 03:22:00,64.57.17.162,11
2011-11-24 03:22:00,206.12.24.110,14
2011-11-24 03:22:00,193.48.99.79,21
2011-11-24 03:22:00,130.246.179.197,21
2011-11-24 03:22:00,90.147.67.252,22
2011-11-17 18:22:00,137.189.27.61,7
2011-11-17 18:22:00,64.57.17.162,11
2011-11-17 18:22:00,206.12.24.110,14
2011-11-17 18:22:00,193.48.99.79,21
2011-11-17 18:22:00,130.246.179.197,21
2011-11-17 18:22:00,90.147.67.252,22
2011-11-28 23:52:00,137.189.27.61,7
2011-11-28 23:52:00,64.57.17.162,11
2011-11-28 23:52:00,206.12.24.110,14
2011-11-28 23:52:00,193.48.99.79,21
2011-11-28 23:52:00,130.246.179.197,21
2011-11-28 23:52:00,90.147.67.252,22
2011-11-19 07:52:00,137.189.27.61,7
2011-11-19 07:52:00,64.57.17.162,11
2011-11-19 07:52:00,206.12.24.110,14
2011-11-19 07:52:00,193.48.99.79,21
2011-11-19 07:52:00,130.246.179.197,21
2011-11-19 07:52:00,90.147.67.252,22
2011-11-19 22:52:00,137.189.27.61,7
2011-11-19 22:52:00,64.57.17.162,11
2011-11-19 22:52:00,206.12.24.110,14
2011-11-19 22:52:00,193.48.99.79,21
2011-11-19 22:52:00,130.246.179.197,21
2011-11-19 22:52:00,90.147.67.252,22
2011-11-18 05:52:00,137.189.27.61,7
2011-11-18 05:52:00,64.57.17.162,11
2011-11-18 05:52:00,206.12.24.110,14
2011-11-18 05:52:00,193.48.99.79,21
2011-11-18 05:52:00,130.246.179.197,21
2011-11-18 05:52:00,90.147.67.252,23
2011-11-16 21:52:00,137.189.27.61,7
2011-11-16 21:52:00,64.57.17.162,11
2011-11-16 21:52:00,206.12.24.110,14
2011-11-16 21:52:00,193.48.99.79,21
2011-11-16 21:52:00,130.246.179.197,21
2011-11-16 21:52:00,90.147.67.252,22
2011-11-26 12:52:00,137.189.27.61,7
2011-11-26 12:52:00,64.57.17.162,11
2011-11-26 12:52:00,206.12.24.110,14
2011-11-26 12:52:00,193.48.99.79,21
2011-11-26 12:52:00,130.246.179.197,21
2011-11-26 12:52:00,90.147.67.252,22
2011-11-15 07:22:00,137.189.27.61,7
2011-11-15 07:22:00,64.57.17.162,11
2011-11-15 07:22:00,206.12.24.110,14
2011-11-15 07:22:00,193.48.99.79,21
2011-11-15 07:22:00,130.246.179.197,21
2011-11-15 07:22:00,90.147.67.252,22
2011-11-25 21:52:00,137.189.27.61,7
2011-11-25 21:52:00,64.57.17.162,11
2011-11-25 21:52:00,206.12.24.110,14
2011-11-25 21:52:00,193.48.99.79,21
2011-11-25 21:52:00,130.246.179.197,21
2011-11-25 21:52:00,90.147.67.252,22
2011-11-23 09:22:00,137.189.27.61,7
2011-11-23 09:22:00,64.57.17.162,11
2011-11-23 09:22:00,206.12.24.110,14
2011-11-23 09:22:00,193.48.99.79,21
2011-11-23 09:22:00,130.246.179.197,21
2011-11-23 09:22:00,90.147.67.252,22
2011-11-15 05:22:00,137.189.27.61,7
2011-11-15 05:22:00,64.57.17.162,11
2011-11-15 05:22:00,206.12.24.110,14
2011-11-15 05:22:00,193.48.99.79,21
2011-11-15 05:22:00,130.246.179.197,21
2011-11-15 05:22:00,90.147.67.252,22
2011-11-19 09:22:00,137.189.27.61,7
2011-11-19 09:22:00,64.57.17.162,11
2011-11-19 09:22:00,206.12.24.110,14
2011-11-19 09:22:00,193.48.99.79,21
2011-11-19 09:22:00,130.246.179.197,21
2011-11-19 09:22:00,90.147.67.252,22
2011-11-14 20:52:00,137.189.27.61,7
2011-11-14 20:52:00,64.57.17.162,11
2011-11-14 20:52:00,206.12.24.110,14
2011-11-14 20:52:00,193.48.99.79,21
2011-11-14 20:52:00,130.246.179.197,21
2011-11-14 20:52:00,90.147.67.252,22
2011-11-26 07:52:00,137.189.27.61,7
2011-11-26 07:52:00,64.57.17.162,11
2011-11-26 07:52:00,206.12.24.110,14
2011-11-26 07:52:00,193.48.99.79,21
2011-11-26 07:52:00,130.246.179.197,21
2011-11-26 07:52:00,90.147.67.252,22
2011-11-21 14:52:00,137.189.27.61,7
2011-11-21 14:52:00,64.57.17.162,11
2011-11-21 14:52:00,206.12.24.110,14
2011-11-21 14:52:00,193.48.99.79,21
2011-11-21 14:52:00,130.246.179.197,21
2011-11-21 14:52:00,90.147.67.252,22
2011-11-24 10:22:00,137.189.27.61,7
2011-11-24 10:22:00,64.57.17.162,11
2011-11-24 10:22:00,206.12.24.110,14
2011-11-24 10:22:00,193.48.99.79,22
2011-11-24 10:22:00,130.246.179.197,21
2011-11-24 10:22:00,90.147.67.252,23
2011-11-23 13:52:00,137.189.27.61,7
2011-11-23 13:52:00,64.57.17.162,11
2011-11-23 13:52:00,206.12.24.110,14
2011-11-23 13:52:00,193.48.99.79,21
2011-11-23 13:52:00,130.246.179.197,21
2011-11-23 13:52:00,90.147.67.252,22
2011-11-14 13:52:00,137.189.27.61,7
2011-11-14 13:52:00,64.57.17.162,11
2011-11-14 13:52:00,206.12.24.110,14
2011-11-14 13:52:00,193.48.99.79,21
2011-11-14 13:52:00,130.246.179.197,21
2011-11-14 13:52:00,90.147.67.252,22
2011-11-15 20:52:00,137.189.27.61,7
2011-11-15 20:52:00,64.57.17.162,11
2011-11-15 20:52:00,206.12.24.110,14
2011-11-15 20:52:00,193.48.99.79,21
2011-11-15 20:52:00,130.246.179.197,21
2011-11-15 20:52:00,90.147.67.252,22
2011-11-28 13:22:00,137.189.27.61,7
2011-11-28 13:22:00,64.57.17.162,11
2011-11-28 13:22:00,206.12.24.110,14
2011-11-28 13:22:00,193.48.99.79,21
2011-11-28 13:22:00,130.246.179.197,21
2011-11-28 13:22:00,90.147.67.252,22
2011-11-24 17:52:00,137.189.27.61,7
2011-11-24 17:52:00,64.57.17.162,11
2011-11-24 17:52:00,206.12.24.110,14
2011-11-24 17:52:00,193.48.99.79,21
2011-11-24 17:52:00,130.246.179.197,21
2011-11-24 17:52:00,90.147.67.252,22
2011-11-25 12:22:00,137.189.27.61,7
2011-11-25 12:22:00,64.57.17.162,11
2011-11-25 12:22:00,206.12.24.110,14
2011-11-25 12:22:00,193.48.99.79,21
2011-11-25 12:22:00,130.246.179.197,21
2011-11-25 12:22:00,90.147.67.252,22
2011-11-22 15:22:00,137.189.27.61,7
2011-11-22 15:22:00,64.57.17.162,11
2011-11-22 15:22:00,206.12.24.110,14
2011-11-22 15:22:00,193.48.99.79,21
2011-11-22 15:22:00,130.246.179.197,21
2011-11-22 15:22:00,90.147.67.252,22
2011-11-24 07:22:00,137.189.27.61,7
2011-11-24 07:22:00,64.57.17.162,11
2011-11-24 07:22:00,206.12.24.110,14
2011-11-24 07:22:00,193.48.99.79,22
2011-11-24 07:22:00,130.246.179.197,21
2011-11-24 07:22:00,90.147.67.252,23
2011-11-13 05:22:00,137.189.27.61,7
2011-11-13 05:22:00,64.57.17.162,11
2011-11-13 05:22:00,206.12.24.110,14
2011-11-13 05:22:00,193.48.99.79,21
2011-11-13 05:22:00,130.246.179.197,21
2011-11-13 05:22:00,90.147.67.252,22
2011-11-27 05:22:00,137.189.27.61,7
2011-11-27 05:22:00,64.57.17.162,11
2011-11-27 05:22:00,206.12.24.110,14
2011-11-27 05:22:00,193.48.99.79,21
2011-11-27 05:22:00,130.246.179.197,21
2011-11-27 05:22:00,90.147.67.252,22
2011-11-21 17:52:00,137.189.27.61,7
2011-11-21 17:52:00,64.57.17.162,11
2011-11-21 17:52:00,206.12.24.110,14
2011-11-21 17:52:00,193.48.99.79,21
2011-11-21 17:52:00,130.246.179.197,21
2011-11-21 17:52:00,90.147.67.252,22
2011-11-19 20:52:00,137.189.27.61,7
2011-11-19 20:52:00,64.57.17.162,11
2011-11-19 20:52:00,206.12.24.110,14
2011-11-19 20:52:00,193.48.99.79,21
2011-11-19 20:52:00,130.246.179.197,21
2011-11-19 20:52:00,90.147.67.252,22
2011-11-27 00:52:00,137.189.27.61,7
2011-11-27 00:52:00,64.57.17.162,11
2011-11-27 00:52:00,206.12.24.110,14
2011-11-27 00:52:00,193.48.99.79,21
2011-11-27 00:52:00,130.246.179.197,21
2011-11-27 00:52:00,90.147.67.252,22
2011-11-26 20:22:00,137.189.27.61,7
2011-11-26 20:22:00,64.57.17.162,11
2011-11-26 20:22:00,206.12.24.110,15
2011-11-26 20:22:00,193.48.99.79,21
2011-11-26 20:22:00,130.246.179.197,21
2011-11-26 20:22:00,90.147.67.252,22
2011-11-22 11:22:00,137.189.27.61,7
2011-11-22 11:22:00,64.57.17.162,11
2011-11-22 11:22:00,206.12.24.110,14
2011-11-22 11:22:00,193.48.99.79,21
2011-11-22 11:22:00,130.246.179.197,21
2011-11-22 11:22:00,90.147.67.252,22
2011-11-17 05:52:00,137.189.27.61,7
2011-11-17 05:52:00,64.57.17.162,11
2011-11-17 05:52:00,206.12.24.110,14
2011-11-17 05:52:00,193.48.99.79,21
2011-11-17 05:52:00,130.246.179.197,21
2011-11-17 05:52:00,90.147.67.252,22
2011-11-27 14:52:00,137.189.27.61,7
2011-11-27 14:52:00,64.57.17.162,11
2011-11-27 14:52:00,206.12.24.110,14
2011-11-27 14:52:00,193.48.99.79,21
2011-11-27 14:52:00,130.246.179.197,21
2011-11-27 14:52:00,90.147.67.252,22
2011-11-17 05:22:00,137.189.27.61,7
2011-11-17 05:22:00,64.57.17.162,11
2011-11-17 05:22:00,206.12.24.110,14
2011-11-17 05:22:00,193.48.99.79,21
2011-11-17 05:22:00,130.246.179.197,21
2011-11-17 05:22:00,90.147.67.252,22
2011-11-13 03:52:00,137.189.27.61,7
2011-11-13 03:52:00,64.57.17.162,11
2011-11-13 03:52:00,206.12.24.110,14
2011-11-13 03:52:00,193.48.99.79,21
2011-11-13 03:52:00,130.246.179.197,21
2011-11-13 03:52:00,90.147.67.252,22
2011-11-23 12:52:00,137.189.27.61,7
2011-11-23 12:52:00,64.57.17.162,11
2011-11-23 12:52:00,206.12.24.110,14
2011-11-23 12:52:00,193.48.99.79,21
2011-11-23 12:52:00,130.246.179.197,21
2011-11-23 12:52:00,90.147.67.252,22
2011-11-21 01:52:00,137.189.27.61,7
2011-11-21 01:52:00,64.57.17.162,11
2011-11-21 01:52:00,206.12.24.110,14
2011-11-21 01:52:00,193.48.99.79,21
2011-11-21 01:52:00,130.246.179.197,21
2011-11-21 01:52:00,90.147.67.252,22
2011-11-13 00:52:00,137.189.27.61,7
2011-11-13 00:52:00,64.57.17.162,11
2011-11-13 00:52:00,206.12.24.110,14
2011-11-13 00:52:00,193.48.99.79,21
2011-11-13 00:52:00,130.246.179.197,21
2011-11-13 00:52:00,90.147.67.252,22
2011-11-22 12:52:00,137.189.27.61,7
2011-11-22 12:52:00,64.57.17.162,11
2011-11-22 12:52:00,206.12.24.110,14
2011-11-22 12:52:00,193.48.99.79,21
2011-11-22 12:52:00,130.246.179.197,21
2011-11-22 12:52:00,90.147.67.252,22
2011-11-21 18:22:00,137.189.27.61,7
2011-11-21 18:22:00,64.57.17.162,11
2011-11-21 18:22:00,206.12.24.110,14
2011-11-21 18:22:00,193.48.99.79,21
2011-11-21 18:22:00,130.246.179.197,21
2011-11-21 18:22:00,90.147.67.252,22
2011-11-13 11:52:00,137.189.27.61,7
2011-11-13 11:52:00,64.57.17.162,11
2011-11-13 11:52:00,206.12.24.110,14
2011-11-13 11:52:00,193.48.99.79,21
2011-11-13 11:52:00,130.246.179.197,21
2011-11-13 11:52:00,90.147.67.252,22
2011-11-13 16:52:00,137.189.27.61,7
2011-11-13 16:52:00,64.57.17.162,11
2011-11-13 16:52:00,206.12.24.110,14
2011-11-13 16:52:00,193.48.99.79,21
2011-11-13 16:52:00,130.246.179.197,21
2011-11-13 16:52:00,90.147.67.252,22
2011-11-26 19:22:00,137.189.27.61,7
2011-11-26 19:22:00,64.57.17.162,11
2011-11-26 19:22:00,206.12.24.110,15
2011-11-26 19:22:00,193.48.99.79,21
2011-11-26 19:22:00,130.246.179.197,21
2011-11-26 19:22:00,90.147.67.252,22
2011-11-15 02:52:00,137.189.27.61,7
2011-11-15 02:52:00,64.57.17.162,11
2011-11-15 02:52:00,206.12.24.110,14
2011-11-15 02:52:00,193.48.99.79,21
2011-11-15 02:52:00,130.246.179.197,21
2011-11-15 02:52:00,90.147.67.252,22
2011-11-21 22:52:00,137.189.27.61,7
2011-11-21 22:52:00,64.57.17.162,11
2011-11-21 22:52:00,206.12.24.110,14
2011-11-21 22:52:00,193.48.99.79,21
2011-11-21 22:52:00,130.246.179.197,21
2011-11-21 22:52:00,90.147.67.252,22
2011-11-27 13:52:00,137.189.27.61,7
2011-11-27 13:52:00,64.57.17.162,11
2011-11-27 13:52:00,206.12.24.110,14
2011-11-27 13:52:00,193.48.99.79,21
2011-11-27 13:52:00,130.246.179.197,21
2011-11-27 13:52:00,90.147.67.252,22
2011-11-13 01:52:00,137.189.27.61,7
2011-11-13 01:52:00,64.57.17.162,11
2011-11-13 01:52:00,206.12.24.110,14
2011-11-13 01:52:00,193.48.99.79,21
2011-11-13 01:52:00,130.246.179.197,21
2011-11-13 01:52:00,90.147.67.252,22
2011-11-26 22:52:00,137.189.27.61,7
2011-11-26 22:52:00,64.57.17.162,11
2011-11-26 22:52:00,206.12.24.110,14
2011-11-26 22:52:00,193.48.99.79,21
2011-11-26 22:52:00,130.246.179.197,21
2011-11-26 22:52:00,90.147.67.252,22
2011-11-19 19:22:00,137.189.27.61,7
